month,n_payments,total_eur
2021-08,14,41100.11
2021-09,1,6200.0
2021-10,1,1078.8
2021-11,1,1398.93
2021-12,6,16275.05
2022-02,2,3961.16
2022-03,7,69817.22
2022-04,15,98575.2
2022-05,36,334158.32
2022-06,40,250013.43
2022-07,21,102733.13
2022-08,15,106626.12
2022-09,17,33631.49
2022-10,2,41218.73
2022-11,20,129286.19
2022-12,5,35487.19
2023-02,5,10750.96
2023-03,11,125624.89
2023-04,27,33595.72
2023-05,48,172996.9
2023-06,13,162343.88
2023-07,10,99753.98
2023-08,1,14189.19
2023-09,1,95.48
2023-10,11,41091.27
2023-11,5,6092.8
2023-12,6,54268.23
2024-01,2,28157.96
2024-02,5,51073.29
2024-03,5,57352.86
2024-04,22,178387.61
2024-05,19,147243.74
2024-06,66,662935.76
2024-07,3,25873.9
2024-08,1,3075.2
2024-10,4,51448.0
2024-11,1,1235.04
2025-02,16,122669.41
2025-03,8,92491.02
2025-04,30,353810.89
2025-05,29,183834.63
2025-06,16,177912.13
2025-07,29,181461.82
2025-08,8,55577.84
2025-09,9,18873.85
2025-10,11,187533.52
2025-11,38,373615.54
2025-12,15,105161.16
2026-02,5,3427.96
2026-03,28,117810.34
2026-04,11,39525.1
2026-05,16,221560.94
2026-06,39,152714.94
2026-07,12,62892.9
2026-08,10,94018.28
