ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,cpv,kae
651Γ4690Β6-445,2021-12-27,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΥΓΕΙΟΝΟΜΙΚΟΥ ΥΛΙΚΟΥ,094356041,ΙΝΕΞ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡ ΙΑΤΡΙΚΩΝ ΝΟΣΟΚΟΜΕΙΑΚ ΕΙΔΩΝ,982.54,33140000-3,1311
Ω5ΦΟ4690Β6-ΡΤΜ,2021-12-24,ΠΡΟΜΗΘΕΙΑ ΥΛΙΚΩΝ ΕΣΤΙΑΣΗΣ ΚΑΙ ΞΥΛΙΝΩΝ ΣΦΡΑΓΙΔΩΝ,099210679,Δ ΠΡΟΚΟΠΙΟΥ Κ ΣΙΑ ΟΕ,1703.76,44423000-1,1899
Ω5ΦΟ4690Β6-ΡΤΜ,2021-12-24,ΠΡΟΜΗΘΕΙΑ ΥΛΙΚΩΝ ΕΣΤΙΑΣΗΣ ΚΑΙ ΞΥΛΙΝΩΝ ΣΦΡΑΓΙΔΩΝ,041228914,"ΣΑΜΠΟΥ,,ΕΛΕΝΗ,ΒΑΣΙΛΕΙΟΣ",19.84,44423000-1,1899
Ω3ΚΨ4690Β6-9Ο7,2021-12-23,ΜΕΤΑΦΟΡΑ ΔΕΙΓΜΑΤΟΣ ΒΙΟΛΟΓΙΚΟΥ ΥΛΙΚΟΥ,999506681,ΜΠΑΙΟΤΡΑΝΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΑΡΟΧΗΣ ΕΞΕΙΔΙΚΕΥΜΕΝΩΝ ΥΠΗΡΕΣΙΩΝ ΥΓΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΜΕΤΑΦΟΡΑΣ,136.4,60000000-8,0824
ΨΞ2Τ4690Β6-ΑΗΠ,2021-12-22,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ ΠΡΟΜΗΘΕΙΑΣ ΟΡΘΟΠΕΔΙΚΟΥ ΥΛΙΚΟΥ,998280573,OPTIMUM ORTHOPEDICS ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ ΙΑΤΡΙΚΩΝ ΕΙΔΩΝ,2823.87,33141700-7,1313
ΨΝΠ74690Β6-ΡΥΥ,2021-12-14,ΠΡΟΜΗΘΕΙΑ ΠΕΤΡΕΛΑΙΟΥ ΘΕΡΜΑΝΣΗΣ,999296901,ΥΙΟΙ ΑΛΚΙΒΙΑΔΗ ΤΟΜΠΑΖΙΔΗ ΚΑΙ ΣΙΑ ΟΕ,35739.53,09100000-0,1611
604Α4690Β6-ΧΣ3,2021-12-14,ΕΝΟΙΚΙΑΣΗ ΣΥΣΚΕΥΗΣ AUTO C-PAP,800844260,ΠΑΥΛΙΔΗΣ ΘΕΜΙΣΤΟΚΛΗΣ ΚΑΙ ΣΙΑ Ε Ε,1160.64,33157000-5,0819
604Α4690Β6-ΧΣ3,2021-12-14,ΕΝΟΙΚΙΑΣΗ ΣΥΣΚΕΥΗΣ AUTO C-PAP,800844260,ΠΑΥΛΙΔΗΣ ΘΕΜΙΣΤΟΚΛΗΣ ΚΑΙ ΣΙΑ Ε Ε,147.56,33140000-3,1311
ΩΓ4Η4690Β6-6ΣΡ,2021-12-14,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ ΓΙΑ ΤΗΝ ΕΠΙΣΚΕΥΗ ΚΑΙ ΣΥΝΤΗΡΗΣΗ ΠΛΥΝΤΗΡΙΟΥ MILNOR,998658212,ΦΑΡΤΕΞ ΤΕΧΝΙΚΗ ΕΞΟΠΛΙΣΜΩΝ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,2593.03,42000000-6,1439
ΩΓ4Η4690Β6-6ΣΡ,2021-12-14,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ ΓΙΑ ΤΗΝ ΕΠΙΣΚΕΥΗ ΚΑΙ ΣΥΝΤΗΡΗΣΗ ΠΛΥΝΤΗΡΙΟΥ MILNOR,998658212,ΦΑΡΤΕΞ ΤΕΧΝΙΚΗ ΕΞΟΠΛΙΣΜΩΝ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,868.0,50400000-9,0887
685Ψ4690Β6-ΑΕΛ,2021-12-10,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΥΓΕΙΟΝΟΜΙΚΟΥ ΥΛΙΚΟΥ,094437130,ΔΕΛΤΑ ΙΑΤΡΙΚΗ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΙΑ ΙΑΤΡΙΚΩΝ ΕΙΔΩΝ,1376.4,33140000-3,1311
ΩΗΝΥ4690Β6-Μ1Γ,2021-12-10,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΠΕΤΡΕΛΑΙΟΥ ΘΕΡΜΑΝΣΗΣ,999296901,ΥΙΟΙ ΑΛΚΙΒΙΑΔΗ ΤΟΜΠΑΖΙΔΗ ΚΑΙ ΣΙΑ ΟΕ,36960.0,09100000-0,1611
6Λ3Ι4690Β6-ΟΟ6,2021-12-07,ΠΡΟΜΗΘΕΙΑ ΟΡΘΟΠΑΙΔΙΚΟΥ ΥΛΙΚΟΥ,998280573,OPTIMUM ORTHOPEDICS ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ ΙΑΤΡΙΚΩΝ ΕΙΔΩΝ,752.68,33141700-7,1313
