ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,reason
ΩΖΤ64690Β3-ΞΘΡ,2021-12-28,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΑΠΟΖΗΜΙΩΣΗ ΓΙΑ ΝΥΧΤΕΡΙΝΑ-ΕΞΑΙΡΕΣΙΜΑ-ΥΠΕΡΩΡ.ΑΠΑΣΧΟΛΗΣΗ (001628),,,100.32,anonymous sponsor (empty sponsorAFMName)
6ΘΞΔ4690Β3-ΜΓ5,2021-12-28,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΑΠΟΖΗΜΙΩΣΗ ΓΙΑ ΝΥΧΤΕΡΙΝΑ-ΕΞΑΙΡΕΣΙΜΑ-ΥΠΕΡΩΡ.ΑΠΑΣΧΟΛΗΣΗ (001628),,,1825.81,anonymous sponsor (empty sponsorAFMName)
65ΕΤ4690Β3-7ΑΧ,2021-12-28,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΑΠΟΖΗΜΙΩΣΗ ΓΙΑ ΝΥΧΤΕΡΙΝΑ-ΕΞΑΙΡΕΣΙΜΑ-ΥΠΕΡΩΡ.ΑΠΑΣΧΟΛΗΣΗ (001628),,,138.84,anonymous sponsor (empty sponsorAFMName)
6ΣΖΣ4690Β3-ΝΙΑ,2021-12-28,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΑΠΟΖΗΜΙΩΣΗ ΓΙΑ ΝΥΧΤΕΡΙΝΑ-ΕΞΑΙΡΕΣΙΜΑ-ΥΠΕΡΩΡ.ΑΠΑΣΧΟΛΗΣΗ (001628),,,3198.07,anonymous sponsor (empty sponsorAFMName)
ΩΧΓ64690Β3-814,2021-12-28,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΑΠΟΖΗΜΙΩΣΗ ΓΙΑ ΝΥΧΤΕΡΙΝΑ-ΕΞΑΙΡΕΣΙΜΑ-ΥΠΕΡΩΡ.ΑΠΑΣΧΟΛΗΣΗ (001628),,,6261.96,anonymous sponsor (empty sponsorAFMName)
6ΥΛΖ4690Β3-ΦΕΚ,2021-12-28,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΑΠΟΖΗΜΙΩΣΗ ΓΙΑ ΝΥΧΤΕΡΙΝΑ-ΕΞΑΙΡΕΣΙΜΑ-ΥΠΕΡΩΡ.ΑΠΑΣΧΟΛΗΣΗ (001628),,,1645.81,anonymous sponsor (empty sponsorAFMName)
6ΒΥΚ4690Β3-4ΑΝ,2021-12-28,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΑΠΟΖΗΜΙΩΣΗ ΓΙΑ ΝΥΧΤΕΡΙΝΑ-ΕΞΑΙΡΕΣΙΜΑ-ΥΠΕΡΩΡ.ΑΠΑΣΧΟΛΗΣΗ (001628),,,1064.56,anonymous sponsor (empty sponsorAFMName)
Ψ4ΓΛ4690Β3-5Β6,2021-12-28,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΑΠΟΖΗΜΙΩΣΗ ΓΙΑ ΝΥΧΤΕΡΙΝΑ-ΕΞΑΙΡΕΣΙΜΑ-ΥΠΕΡΩΡ.ΑΠΑΣΧΟΛΗΣΗ (001628),,,402.93,anonymous sponsor (empty sponsorAFMName)
6Ρ894690Β3-ΟΔ9,2021-12-28,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΑΠΟΖΗΜΙΩΣΗ ΓΙΑ ΝΥΧΤΕΡΙΝΑ-ΕΞΑΙΡΕΣΙΜΑ-ΥΠΕΡΩΡ.ΑΠΑΣΧΟΛΗΣΗ (001628),,,95.28,anonymous sponsor (empty sponsorAFMName)
ΩΔΨΜ4690Β3-3Λ6,2021-12-28,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΑΠΟΖΗΜΙΩΣΗ ΓΙΑ ΝΥΧΤΕΡΙΝΑ-ΕΞΑΙΡΕΣΙΜΑ-ΥΠΕΡΩΡ.ΑΠΑΣΧΟΛΗΣΗ (001628),,,5426.28,anonymous sponsor (empty sponsorAFMName)
