org,ada,type,issue_date,subject,doc_url
99221917,ΨΗΔΣ4690Β3-Κ63,Β.1.3,2024-01-11,ΠΑΡΟΧΗ ΥΠΗΡΕΣΙΩΝ ΛΟΓΙΣΤΙΚΗΣ ΥΠΟΣΤΗΡΙΞΗΣ-ΠΑΡΑΚΟΛΟΥΘΗΣΗΣ-ΣΥΝΤΑΞΗΣ ΜΗΝΙΑΙΩΝ ΟΙΚΟΝΟΜΙΚΩΝ ΚΑΤΑΣΤΑΣΕΩΝ BIFORM KAI ΕΚΔΟΣΗ ΙΣΟΛΟΓΙΣΜΟΥ 2023 ΓΙΑ ΕΝΑ ΕΤΟΣ,https://diavgeia.gov.gr/doc/ΨΗΔΣ4690Β3-Κ63
99221917,62ΧΘ4690Β3-ΒΕΟ,2.4.7.1,2024-01-10,Έγκριση δαπάνης για την παροχή υπηρεσιών Λογιστικής Υποστήριξης παρακολούθησης  μηνιαίων καταστάσεων των Διαχειρίσεων του ΓΝΚ και έκδοση Ισολογισμού 2023 για τι,https://diavgeia.gov.gr/doc/62ΧΘ4690Β3-ΒΕΟ
99221917,623Ν4690Β3-ΡΣΨ,Β.3,2023-12-14,ΙΣΟΛΟΓΙΣΜΟΣ 2022,https://diavgeia.gov.gr/doc/623Ν4690Β3-ΡΣΨ
99221917,ΨΦΤΩ4690Β3-6Α3,Β.1.3,2023-11-24,ΥΠΗΡΕΣΙΕΣ ΟΠΡΚΩΤΩΝ ΛΟΓΙΣΤΩΝ - ΕΛΕΓΧΟΣ ΙΣΟΛΟΓΙΣΜΟΥ ΟΙΚ ΕΤΟΥΣ 2023,https://diavgeia.gov.gr/doc/ΨΦΤΩ4690Β3-6Α3
99221917,ΕΤΤ04690Β3-289,Β.3,2024-05-26,ΑΠΟΛΟΓΙΣΜΟΣ ΕΣΟΔΩΝ 2023,https://diavgeia.gov.gr/doc/ΕΤΤ04690Β3-289
99221917,9ΡΘΗ4690Β3-ΖΡΙ,Β.1.3,2024-01-18,ΣΥΜΠΛΗΡΩΜΑΤΙΚΗ ΠΑΡΟΧΗ ΥΠΗΡΕΣΙΩΝ ΛΟΓΙΣΤΙΚΗΣ ΥΠΟΣΤΗΡΙΞΗΣ-ΠΑΡΑΚΟΛΟΥΘΗΣΗΣ-ΣΥΝΤΑΞΗΣ ΜΗΝΙΑΙΩΝ ΟΙΚΟΝΟΜΙΚΩΝ ΚΑΤΑΣΤΑΣΕΩΝ BIFORM KAI ΕΚΔΟΣΗ ΙΣΟΛΟΓΙΣΜΟΥ 2023 ΓΙΑ ΕΝΑ ΕΤΟΣ,https://diavgeia.gov.gr/doc/9ΡΘΗ4690Β3-ΖΡΙ
99221917,ΨΛΕ64690Β3-Α00,Δ.1,2024-01-17,«Παροχή Υπηρεσιών Λογιστικής Υποστήριξης – Παρακολούθησης – Σύνταξης Μηνιαίων Οικονομικών Καταστάσεων του BIFORM των Διαχειρίσεων του Γ.Ν. Κέρκυρας διάρκειας εν,https://diavgeia.gov.gr/doc/ΨΛΕ64690Β3-Α00
99221917,6ΨΝΣ4690Β3-ΨΟΩ,2.4.7.1,2024-10-01,"Έγκριση χρηματοοικονομικών καταστάσεων του ΓΝ Κέρκυρας, που αποτελούνται από τον Ισολογισμό της 31ης Δεκεμβρίου 2023, την κατάσταση αποτελεσμάτων, τον πίνακα δι",https://diavgeia.gov.gr/doc/6ΨΝΣ4690Β3-ΨΟΩ
99221917,Ε0ΞΒ4690Β3-5Ξ2,Β.3,2024-09-30,ΙΣΟΛΟΓΙΣΜΟΣ 2023,https://diavgeia.gov.gr/doc/Ε0ΞΒ4690Β3-5Ξ2
99221917,ΨΞΠΣ4690Β3-ΝΦΑ,2.4.7.1,2024-08-30,Έγκριση  Ισολογισμού και οικονομικών καταστάσεων Γ.Ν. Κέρκυρας οικ. έτους 2023,https://diavgeia.gov.gr/doc/ΨΞΠΣ4690Β3-ΝΦΑ
99221917,903Β4690Β3-ΠΒ5,Δ.1,2025-01-15,ΣΥΜΒΑΣΗ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΛΟΓΙΣΤΙΚΗΣ ΥΠΟΣΤΗΡΙΞΗΣ -ΠΑΡΑΚΟΛΟΥΘΗΣΗΣ -ΣΥΝΤΑΞΗΣ ΜΗΝΙΑΙΩΝ ΟΙΚΟΝΟΜΙΚΩΝ ΚΑΤΑΣΤΑΣΕΩΝ BI FORM ΤΩΝ ΔΙΑΧΕΙΡΙΣΕΩΝ ΚΑΘΩΣ ΚΑΙ ΓΙΑ ΤΗΝ ΕΚΔΟΣΗ ΙΣ,https://diavgeia.gov.gr/doc/903Β4690Β3-ΠΒ5
99221917,65ΒΥ4690Β3-ΧΨΥ,2.4.7.1,2025-01-09,Παροχή Υπηρεσιών Λογιστικής Υποστήριξης -Παρακολούθησης -Σύνταξης Μηνιαίων Οικονομικών Καταστάσεων του BIFORM των Διαχειρίσεων καθώς και για την έκδοση Ισολογισ,https://diavgeia.gov.gr/doc/65ΒΥ4690Β3-ΧΨΥ
99221917,Ψ8Β44690Β3-ΕΟΩ,Δ.2.1,2025-01-03,Παροχή Υπηρεσιών Λογιστικής Υποστήριξης -Παρακολούθησης-Σύνταξης Μηνιαίων Οικονομικών Καταστάσεων του BIFORM των Διαχειρίσεων καθώς και για την έκδοση Ισολογισμ,https://diavgeia.gov.gr/doc/Ψ8Β44690Β3-ΕΟΩ
99221917,Ψ9ΜΠ4690Β3-ΚΗΗ,2.4.7.1,2024-12-27,Έγκριση Διενέργειας Πρόσκλησης Εκδήλωσης Ενδιαφέροντος για την Ανάδειξη Αναδόχου Παροχής Υπηρεσιών Λογιστικής Υποστήριξης -Παρακολούθησης -Σύνταξης Μηνιαίων Οικ,https://diavgeia.gov.gr/doc/Ψ9ΜΠ4690Β3-ΚΗΗ
99221917,9Ψ094690Β3-ΩΩΗ,Β.3,2025-07-31,ΙΣΟΛΟΓΙΣΜΟΣ ΟΙΚ. ΕΤΟΥΣ 2024,https://diavgeia.gov.gr/doc/9Ψ094690Β3-ΩΩΗ
99221917,6ΓΗΧ4690Β3-ΩΟΙ,2.4.7.1,2025-07-31,Έγκριση Ισολογισμού έτους 2024.,https://diavgeia.gov.gr/doc/6ΓΗΧ4690Β3-ΩΟΙ
99221917,9ΒΞ34690Β3-ΝΦΔ,2.4.7.1,2025-05-05,"ΑΠΟΦΑΣΗ ΕΓΚΡΙΣΗΣ
Α)  
α) Τον Οικονομικό Απολογισμό του Οικον. Έτους 2024 και
β) Τα δεδομένα δεικτών έτους 2024,

Β) 
Το σχέδιο Δράσης έτους 2025, για την πρόληψ",https://diavgeia.gov.gr/doc/9ΒΞ34690Β3-ΝΦΔ
99221917,ΨΝΣΗ4690Β3-7Β0,Β.3,2025-04-10,ΑΠΟΛΟΓΙΣΜΟΣ ΕΞΟΔΩΝ 2024,https://diavgeia.gov.gr/doc/ΨΝΣΗ4690Β3-7Β0
99221917,ΨΩΥΕ4690Β3-ΓΞΞ,Β.3,2025-04-10,ΑΠΟΛΟΓΙΣΜΟΣ ΕΣΟΔΩΝ 2024,https://diavgeia.gov.gr/doc/ΨΩΥΕ4690Β3-ΓΞΞ
99221917,ΡΛΨΨ4690Β3-ΜΗΧ,Β.3,2026-01-22,ΑΠΟΛΟΓΙΣΜΟΣ ΕΞΟΔΩΝ 2025 ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΚΕΡΚΥΡΑΣ,https://diavgeia.gov.gr/doc/ΡΛΨΨ4690Β3-ΜΗΧ
99221917,9ΤΩ44690Β3-ΖΜΒ,Β.3,2026-01-22,ΑΠΟΛΟΓΙΣΜΟΣ ΕΣΟΔΩΝ 2025 ΓΕΝΙΚΟΥ ΝΟΣΟΚΟΜΕΙΟΥ ΚΕΡΚΥΡΑΣ,https://diavgeia.gov.gr/doc/9ΤΩ44690Β3-ΖΜΒ
99221917,9ΦΓΑ4690Β3-ΟΒΥ,2.4.7.1,2026-06-29,"Εισηγητική έκθεση Απολογισμού Γ.Ν. Κέρκυρας, Οικονομικού Έτους 2025",https://diavgeia.gov.gr/doc/9ΦΓΑ4690Β3-ΟΒΥ
99221917,99ΡΠ4690Β3-7ΕΗ,Δ.2.1,2026-06-10,"ΠΡΟΣΚΛΗΣΗ
ΓΙΑ ΤΗΝ ΠΑΡΟΧΗ ΥΠΗΡΕΣΙΩΝ 1) ΕΤΗΣΙΩΝ ΑΝΑΛΥΤΙΚΩΝ ΑΠΟΤΕΛΕΣΜΑΤΩΝ ΚΑΙ ΤΗΡΗΣΗΣ ΤΗΣ ΑΝΑΛΥΤΙΚΗΣ ΛΟΓΙΣΤΙΚΗΣ ΣΤΟ Γ.Ν. ΚΕΡΚΥΡΑΣ ΓΙΑ ΤΗΝ ΟΙΚΟΝΟΜΙΚΗ ΧΡΗΣΗ ΤΟΥ 2026",https://diavgeia.gov.gr/doc/99ΡΠ4690Β3-7ΕΗ
99221917,ΨΣ0Ι4690Β3-ΥΞΣ,2.4.7.1,2026-03-13,Εισηγητική έκθεση Απολογισμού ΓΝ Κέρκυρας Οικονομικού έτους 2024.,https://diavgeia.gov.gr/doc/ΨΣ0Ι4690Β3-ΥΞΣ
99221917,9ΝΠ64690Β3-ΟΑ7,2.4.7.1,2026-03-16,Εισηγητική έκθεση Απολογισμού ΓΝ Κέρκυρας Οικονομικού έτους 2023.,https://diavgeia.gov.gr/doc/9ΝΠ64690Β3-ΟΑ7
99221917,9Γ7Υ4690Β3-0Ω1,2.4.7.1,2026-03-12,Έγκριση Τροποποίησης Απολογισμού 2012.,https://diavgeia.gov.gr/doc/9Γ7Υ4690Β3-0Ω1
99221917,Ψ1Ν34690Β3-ΚΨΩ,2.4.7.1,2026-08-11,Έγκριση Ισολογισμού έτους 2025.,https://diavgeia.gov.gr/doc/Ψ1Ν34690Β3-ΚΨΩ
99221917,ΨΖ0Χ4690Β3-Ν2Ξ,Β.3,2026-08-07,ΙΣΟΛΟΓΙΣΜΟΣ Γ.Ν.ΚΕΡΚΥΡΑΣ ΕΤΟΥΣ 2025,https://diavgeia.gov.gr/doc/ΨΖ0Χ4690Β3-Ν2Ξ
