ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,reason
6ΓΓΒ4690ΒΑ-ΔΤ7,2021-12-02,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 21472-02/12/2021,999227410,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΚΟΜΟΤΗΝΗΣ ΣΙΣΜΑΝΟΓΛΕΙΟ,3152.22,self-referential (payroll/EFKA/FMY remittance)
ΨΟΠΥ4690ΒΑ-ΤΜΛ,2021-12-02,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 21471-02/12/2021,999227410,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΚΟΜΟΤΗΝΗΣ ΣΙΣΜΑΝΟΓΛΕΙΟ,3101.84,self-referential (payroll/EFKA/FMY remittance)
64ΒΘ4690ΒΑ-ΜΥΖ,2021-12-02,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 21470-02/12/2021,999227410,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΚΟΜΟΤΗΝΗΣ ΣΙΣΜΑΝΟΓΛΕΙΟ,1325.36,self-referential (payroll/EFKA/FMY remittance)
ΨΜΗΙ4690ΒΑ-Π7Ο,2021-12-02,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 21469-02/12/2021,999227410,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΚΟΜΟΤΗΝΗΣ ΣΙΣΜΑΝΟΓΛΕΙΟ,7534.40,self-referential (payroll/EFKA/FMY remittance)
ΨΝΗ54690ΒΑ-7Ψ7,2021-12-02,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 21468-02/12/2021,999227410,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΚΟΜΟΤΗΝΗΣ ΣΙΣΜΑΝΟΓΛΕΙΟ,55700.26,self-referential (payroll/EFKA/FMY remittance)
Ω04Λ4690ΒΑ-ΧΗΥ,2021-11-19,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 20505-19/11/2021,999227410,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΚΟΜΟΤΗΝΗΣ ΣΙΣΜΑΝΟΓΛΕΙΟ,10854.81,self-referential (payroll/EFKA/FMY remittance)
ΨΟ7Σ4690ΒΑ-Σ7Η,2021-11-08,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 19747-08/11/2021,999227410,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΚΟΜΟΤΗΝΗΣ ΣΙΣΜΑΝΟΓΛΕΙΟ,12140.92,self-referential (payroll/EFKA/FMY remittance)
6ΗΣ24690ΒΑ-Β6Γ,2021-11-01,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 19429-01/11/2021,999227410,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΚΟΜΟΤΗΝΗΣ ΣΙΣΜΑΝΟΓΛΕΙΟ,7481.68,self-referential (payroll/EFKA/FMY remittance)
9ΩΠΘ4690ΒΑ-ΘΝ7,2021-11-01,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 19433-01/11/2021,999227410,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΚΟΜΟΤΗΝΗΣ ΣΙΣΜΑΝΟΓΛΕΙΟ,53677.02,self-referential (payroll/EFKA/FMY remittance)
ΨΠΗ04690ΒΑ-ΖΧΑ,2021-11-01,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 19434-01/11/2021,999227410,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΚΟΜΟΤΗΝΗΣ ΣΙΣΜΑΝΟΓΛΕΙΟ,6.14,self-referential (payroll/EFKA/FMY remittance)
