ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,cpv,kae
ΨΜΒΩ46907Ο-Κ2Γ,2023-07-14,ΧΕ-1591 ΣΕΙΡΑ Β/2023 ΓΙΑ ΤΗΝ ΠΛΗΡΩΜΗ ΥΠΗΡΕΣΙΩΝ ΚΑΙ ΕΙΔΩΝ ΕΠΙΣΚΕΥΗΣ ΚΑΙ ΣΥΝΤΗΡΗΣΗΣ (ΣΥΛΛΟΓΗ ΠΡΟΣΦΟΡΩΝ),065945934,ΘΕΟΔΟΣΙΟΥ Σ.ΜΙΧΑΗΛ,2925.0,,0879.01
ΨΜΒΩ46907Ο-Κ2Γ,2023-07-14,ΧΕ-1591 ΣΕΙΡΑ Β/2023 ΓΙΑ ΤΗΝ ΠΛΗΡΩΜΗ ΥΠΗΡΕΣΙΩΝ ΚΑΙ ΕΙΔΩΝ ΕΠΙΣΚΕΥΗΣ ΚΑΙ ΣΥΝΤΗΡΗΣΗΣ (ΣΥΛΛΟΓΗ ΠΡΟΣΦΟΡΩΝ),065945934,ΘΕΟΔΟΣΙΟΥ Σ.ΜΙΧΑΗΛ,7485.66,,1429.01
9Ξ4Ι46907Ο-Θ6Θ,2023-07-13,"ΧΕ-1590 ΣΕΙΡΑ Β/2023 ΓΙΑ ΤΗΝ ΕΚΤΕΛΕΣΗ ΤΩΝ ΔΙΚΑΣΤΙΚΩΝ ΑΠΟΦΑΣΕΩΝ Α2104/22, Α2107/22, Α2110/22 ΤΟΥ ΔΙΟΙΚΗΤΙΚΟΥ ΕΦΕΤΕΙΟΥ ΠΕΙΡΑΙΑ",099796300,SWEDISH SYSTEMS SECURITY ΜΟΝΟΠΡΟΣΩΠΗ ΕΠΕ,224901.6,,0892.02
ΩΧ4Κ46907Ο-ΗΒ4,2023-08-18,ΧΕ-1778 ΣΕΙΡΑ Β/2023 ΓΙΑ ΤΗΝ ΠΛΗΡΩΜΗ ΠΡΟΜΗΘΕΙΑΣ ΦΙΑΛΙΔ.  ΔΑΙΣΤΑΥΡΩΣΗΣ (1ο Χ.Ε. 1267/2023 ) ΑΡ. ΣΥΜΒΑΣΗΣ 6/2023 ΑΠΟ13/2/2023 ΕΩΣ 12/2/2024,094503580,ΕΝΟΡΑΣΙΣ Α.Ε.,178.59,,1311.01
6Υ4346907Ο-44Ψ,2023-08-18,ΧΕ-1783 ΣΕΙΡΑ Β/2023 ΓΙΑ ΤΗΝ ΠΛΗΡΩΜΗ ΤΗΛΕΦΩΝΙΚΩΝ ΣΥΝΔΙΑΛΕΞΕΩΝ ΣΤΟ ΔΙΕΚ ΑΠΟ 8/5/23 ΩΣ 7/7/23,094019245,Ο.Τ.Ε.,45.62,,0832.01
699146907Ο-72Β,2023-08-18,ΧΕ-1782 ΣΕΙΡΑ Β/2023 ΓΙΑ ΤΗΝ ΠΛΗΡΩΜΗ ΤΗΛΕΦΩΝΙΚΩΝ ΣΥΝΔΙΑΛΕΞΕΩΝ ΣΤΟ ΚΕΦΙΑΠ ΑΠΟ 16/5/23 ΩΣ 15/7/23,094019245,Ο.Τ.Ε.,75.3,,0832.01
92Ξ046907Ο-Σ0Ο,2023-08-18,ΧΕ-1781 ΣΕΙΡΑ Β/2023 ΓΙΑ ΤΗΝ ΠΛΗΡΩΜΗ ΤΗΛΕΦΩΝΙΚΩΝ ΣΥΝΔΙΑΛΕΞΕΩΝ ΑΠΟ 8/5/23 ΩΣ 7/7/23,094019245,Ο.Τ.Ε.,1003.23,,0832.01
ΨΨΦΦ46907Ο-Φ36,2023-08-18,ΧΕ-1780 ΣΕΙΡΑ Β/2023 ΓΙΑ ΤΗΝ ΠΛΗΡΩΜΗ ΤΗΛΕΦΩΝΙΚΩΝ ΣΥΝΔΙΑΛΕΞΕΩΝ ΑΠΟ 8/5/23 ΩΣ 7/7/23,094019245,Ο.Τ.Ε.,875.36,,0832.01
94Θ446907Ο-ΡΤ8,2023-08-18,ΧΕ-1779 ΣΕΙΡΑ Β/2023 ΓΙΑ ΤΗΝ ΠΛΗΡΩΜΗ ΠΡΟΜΗΘΕΙΑΣ ΚΑΘΕΤΗΡΩΝ   ΑΡ. ΣΥΜΒ 78/2022 & 54/2022 1ο ΧΕ 664(Β)2023,082525697,ΜΑΥΡΟΓΕΝΗΣ  ΑΝΑΣΤΑΣΙΟΣ  Α.Ε COLOPLAST,89.27,,1311.01
6Φ3Β46907Ο-ΓΘΦ,2023-08-18,ΧΕ-1777 ΣΕΙΡΑ Β/2023 ΓΙΑ ΤΗΝ ΠΛΗΡΩΜΗ ΠΡΟΜΗΘΕΙΑΣ ΥΓΕΙΟΝΟΜΙΚΟΥ ΥΛΙΚΟΥ  (1ο ΧΕ 1777(Β)23 ΑΡ. ΣΥΜΒ. 31/2023 ΩΣ 5/4/24),997672386,ΥΓΕΙΟΔΥΝΑΜΙΚΗ,200.07,,1311.01
