org,ada,type,issue_date,award_amount,reason,subject,doc_url
99221940,Ψ2ΥΧ46907Κ-ΧΤΨ,Δ.2.1,2021-10-11,0.00,cleaning service,ΠΕΡΙΛΗΨΗ ΔΙΑΚΗΡΥΞΗΣ ΤΟΥ ΑΝΟΙΚΤΟΥ ΗΛΕΚΤΡΟΝΙΚΟΥ ΔΙΑΓΩΝΙΣΜΟΥ ΚΑΤΩ ΤΩΝ ΟΡΙΩΝ ΓΙΑ ΤΗΝ ΑΝΑΘΕΣΗ ΤΩΝ ΥΠΗΡΕΣΙΩΝ ΚΑΘΑΡΙΟΤΗΤΑΣ ΤΟΥ ,https://diavgeia.gov.gr/doc/Ψ2ΥΧ46907Κ-ΧΤΨ
99221940,ΩΔΠ946907Κ-Ι22,Δ.1,2021-08-26,44243.20,security service,ΣΥΜΒΑΣΗ ΓΙΑ ΥΠΗΡΑΣΙΕΣ ΦΥΛΑΞΗΣ ΓΝΡ-ΔΙΑΓΩΝΙΣΜΟΣ 95/2021,https://diavgeia.gov.gr/doc/ΩΔΠ946907Κ-Ι22
99221940,ΩΣΩΠ46907Κ-ΕΩΕ,Δ.2.2,2021-08-26,44243.20,security service,ΕΓΚΡΙΣΗ ΑΠΟΤΕΛΕΣΜΑΤΩΝ ΔΙΑΠΡΑΓΜΑΤΕΥΣΗΣ ΔΙΑΓΩΝΙΣΜΟΥ 95_2021 ΓΙΑ ΤΗΝ ΑΝΑΘΕΣΗ ΥΠΗΡΕΣΙΩΝ ΦΥΛΑΞΗΣ,https://diavgeia.gov.gr/doc/ΩΣΩΠ46907Κ-ΕΩΕ
99221940,9ΕΩΠ46907Κ-4ΥΨ,Δ.2.2,2021-08-25,57819.97,cleaning service,ΑΠΟΦΑΣΗ ΔΣ ΓΙΑ ΕΓΚΡΙΣΗ ΑΠΟΤΕΛΕΣΜΑΤΩΝ ΤΟΥ ΣΥΝΟΠΤΙΚΟΥ ΔΙΑΓΩΝΙΣΜΟΥ 91/2021 ΓΙΑ ΤΗΝ ΑΝΑΘΕΣΗ ΤΩΝ ΥΠΗΡΕΣΙΩΝ ΚΑΘΑΡΙΟΤΗΤΑΣ,https://diavgeia.gov.gr/doc/9ΕΩΠ46907Κ-4ΥΨ
99221940,ΩΜΧΑ46907Κ-Α08,Δ.2.1,2022-09-22,0.00,security service,ΠΕΡΙΛΗΨΗ ΔΙΑΚΗΡΥΞΗΣ ΓΙΑ ΤΗΝ ΑΝΑΘΕΣΗ ΤΩΝ ΥΠΗΡΕΣΙΩΝ ΤΕΧΝΙΚΟΥ ΑΣΦΑΛΕΙΑΣ ΚΑΙ ΙΑΤΡΟΥ ΕΡΓΑΣΙΑΣ ΣΤΟ ΓΝ ΡΟΔΟΥ(97/2022),https://diavgeia.gov.gr/doc/ΩΜΧΑ46907Κ-Α08
99221940,ΨΤΡΨ46907Κ-ΝΧΣ,Δ.2.2,2022-08-17,2337.40,security service,"ΠΡΟΜΗΘΕΙΑ ΘΗΚΗΣ ΦΥΛΑΞΗΣ ΕΥΚΑΜΠΤΩΝ ΕΝΔΟΣΚΟΠΙΩΝ ,ΠΡΟΣΑΡΜΟΓΕΑ ΓΙΑ ΤΥΠΟΠΟΙΗΜΕΝΗ ΡΑΓΑ ΚΑΙ ΕΝΟΣ ΚΥΤΙΟΥ ΑΠΟΣΤΕΙΡΩΣΗΣ-ΦΥΛΑΞΗΣ",https://diavgeia.gov.gr/doc/ΨΤΡΨ46907Κ-ΝΧΣ
99221940,ΨΜΛΚ46907Κ-7Ρ2,Δ.2.1,2022-07-29,0.00,security service,"ΠΡΟΜΗΘΕΙΑ ΘΗΚΗΣ ΦΥΛΑΞΗΣ ΕΥΚΑΜΠΤΩΝ ΕΝΔΟΣΚΟΠΙΩΝ,ΠΡΟΣΑΡΜΟΓΕΑ ΓΙΑ ΤΥΠΟΠΟΙΗΜΕΝΗ ΡΑΓΑ ΚΑΙ ΕΝΟΣ ΚΥΤΙΟΥ ΑΠΟΣΤΕΙΡΩΣΗΣ ΦΥΛΑΞΗΣ ΓΙΑ",https://diavgeia.gov.gr/doc/ΨΜΛΚ46907Κ-7Ρ2
99221940,66Γ946907Κ-Χ25,Δ.2.1,2022-07-20,0.00,security service,"ΠΡΟΜΗΘΕΙΑ ΘΗΚΗΣ ΦΥΛΑΞΗΣ ΕΥΚΑΜΠΤΩΝ ΕΝΔΟΣΚΟΠΙΩΝ ,ΠΡΟΣΑΡΜΟΓΕΑ ΓΙΑ ΤΥΠΟΠΟΙΗΜΕΝΗ ΡΑΓΑ ΚΑΙ ΕΝΟΣ ΚΥΤΙΟΥ ΑΠΟΣΤΕΙΡΩΣΗΣ-ΦΥΛΑΞΗΣ ΓΙ",https://diavgeia.gov.gr/doc/66Γ946907Κ-Χ25
99221940,6Χ2Ξ46907Κ-ΓΗ9,Δ.2.1,2023-03-28,0.00,catering service,ΧΡΩΜΑΤΙΣΜΟΣ ΤΡΟΧΗΛΑΤΩΝ ΤΡΑΠΕΖΙΔΙΩΝ ΣΙΤΙΣΗΣ ΑΣΘΕΝΩΝ ΜΤΝ,https://diavgeia.gov.gr/doc/6Χ2Ξ46907Κ-ΓΗ9
99221940,ΨΡΑΨ46907Κ-Γ9Τ,Δ.2.1,2023-02-06,0.00,catering service,"ΜΑΣΚΕΣ ΑΠΛΕΣ Ο2  ΠΑΙΔΙΑΤΡΙΚΕΣ
ΜΑΣΚΕΣ ΑΠΛΕΣ Ο2  ΝΕΟΓΝΙΚΕΣ
ΣΩΛΗΝΑΡΙΑ ΚΑΙ ΜΑΣΚΕΣ ΟΞΥΓΟΝΟΥ 
ΡΙΝΙΚΕΣ (ΓΥΑΛΙΑ) ΠΑΙΔΙΑΤΡΙΚΕΣ
ΚΑ",https://diavgeia.gov.gr/doc/ΨΡΑΨ46907Κ-Γ9Τ
