ada,org,type,issue_date,subject,award_amount,doc_url,match_kind,matched_afm,matched_supplier
ΨΞ6446907Κ-ΔΓ5,99221940,Δ.2.1,1641945600,ΠΡΟΜΗΘΕΙΑ ΥΛΙΚΩΝ ΚΑΘΑΡΙΟΤΗΤΑΣ,,https://diavgeia.gov.gr/doc/ΨΞ6446907Κ-ΔΓ5,category,,ΚΑΘΑΡΙΟΤΗΤ
Ψ4ΥΔ46907Κ-8ΚΣ,99221940,Δ.2.2,1640044800,Πράξη για Θανασιά γνωμοδοτηση MY SECURITY,{'currency': 'EUR'},https://diavgeia.gov.gr/doc/Ψ4ΥΔ46907Κ-8ΚΣ,category,,SECURITY
6Β9Ξ46907Κ-ΚΤΚ,99221940,Δ.2.2,1639353600,ΠΡΟΜΗΘΕΙΑ ΥΛΙΚΩΝ ΚΑΘΑΡΙΟΤΗΤΑΣ,"{'amount': 1149.56, 'currency': 'EUR'}",https://diavgeia.gov.gr/doc/6Β9Ξ46907Κ-ΚΤΚ,category,,ΚΑΘΑΡΙΟΤΗΤ
65Ι046907Κ-649,99221940,Δ.2.2,1639008000,ΣΥΣΚΕΥΕΣ ΕΝΤΕΡΙΚΗΣ ΣΙΤΙΣΗΣ,"{'amount': 1186.5, 'currency': 'EUR'}",https://diavgeia.gov.gr/doc/65Ι046907Κ-649,category,,ΣΙΤΙΣΗ
6ΝΤΞ46907Κ-Φ2Μ,99221940,Δ.2.1,1637884800,ΣΥΣΚΕΥΕΣ ΕΝΤΕΡΙΚΗΣ ΣΙΤΙΣΗΣ,,https://diavgeia.gov.gr/doc/6ΝΤΞ46907Κ-Φ2Μ,category,,ΣΙΤΙΣΗ
6Ξ3Ψ46907Κ-ΑΧ7,99221940,Δ.2.1,1637280000,ΠΡΟΜΗΘΕΙΑ ΥΛΙΚΩΝ ΚΑΘΑΡΙΟΤΗΤΑΣ,,https://diavgeia.gov.gr/doc/6Ξ3Ψ46907Κ-ΑΧ7,category,,ΚΑΘΑΡΙΟΤΗΤ
ΨΒΛΗ46907Κ-9Θ5,99221940,Δ.2.1,1634515200,ΠΡΟΜΗΘΕΙΑ ΥΛΙΚΩΝ ΚΑΘΑΡΙΟΤΗΤΑΣ,,https://diavgeia.gov.gr/doc/ΨΒΛΗ46907Κ-9Θ5,category,,ΚΑΘΑΡΙΟΤΗΤ
6ΗΖ446907Κ-ΑΟ2,99221940,Δ.2.2,1634515200,ΠΡΟΜΗΘΕΙΑ ΥΛΙΚΩΝ ΚΑΘΑΡΙΟΤΗΤΑΣ,"{'amount': 2097.76, 'currency': 'EUR'}",https://diavgeia.gov.gr/doc/6ΗΖ446907Κ-ΑΟ2,category,,ΚΑΘΑΡΙΟΤΗΤ
Ψ2ΥΧ46907Κ-ΧΤΨ,99221940,Δ.2.1,1633910400,ΠΕΡΙΛΗΨΗ ΔΙΑΚΗΡΥΞΗΣ ΤΟΥ ΑΝΟΙΚΤΟΥ ΗΛΕΚΤΡΟΝΙΚΟΥ ΔΙΑΓΩΝΙΣΜΟΥ ΚΑΤΩ ΤΩΝ ΟΡΙΩΝ ΓΙΑ ΤΗΝ ΑΝΑΘΕΣΗ ΤΩΝ ΥΠΗΡΕΣΙΩΝ ΚΑΘΑΡΙΟΤΗΤΑΣ ΤΟΥ ΓΝ ΡΟΔΟΥ,,https://diavgeia.gov.gr/doc/Ψ2ΥΧ46907Κ-ΧΤΨ,category,,ΚΑΘΑΡΙΟΤΗΤ
Ψ4Ο046907Κ-Ω16,99221940,Δ.2.1,1632096000,ΠΡΟΜΗΘΕΙΑ ΥΛΙΚΩΝ ΚΑΘΑΡΙΟΤΗΤΑΣ,,https://diavgeia.gov.gr/doc/Ψ4Ο046907Κ-Ω16,category,,ΚΑΘΑΡΙΟΤΗΤ
