ada,recorded,pdf_actual,ratio,verdict
ΨΤ6Τ46907Κ-8ΕΘ,18590421.0,185904.21,100.0,x100_error
Ψ60746907Κ-ΨΩΡ,6699820.0,66998.2,100.0,x100_error
6ΤΝ046907Κ-Χ4Ν,5628028.0,56280.28,100.0,x100_error
6ΑΣΟ46907Κ-3ΑΝ,4830757.0,48307.57,100.0,x100_error
Ω02Ω46907Κ-ΡΦΑ,3048839.0,30488.39,100.0,x100_error
64Ο746907Κ-5ΡΘ,2212160.0,22121.6,100.0,x100_error
96ΚΛ46907Κ-ΕΦΧ,1505530.0,15055.3,100.0,x100_error
ΨΡΤΧ46907Κ-8ΛΖ,1395506.0,13955.06,100.0,x100_error
Ω2ΧΘ46907Κ-Β9Ζ,998200.0,998200.0,1.0,genuine
ΩΓ1546907Κ-92Β,977728.0,9777.28,100.0,x100_error
9Β9546907Κ-ΔΦ7,693160.0,693160.0,1.0,genuine
9ΣΗΗ46907Κ-ΨΦΨ,621396.0,6213.96,100.0,x100_error
99ΨΙ46907Κ-ΣΡΒ,493245.0,4932.45,100.0,x100_error
6ΗΒΒ46907Κ-Λ9Ξ,461652.0,4616.52,100.0,x100_error
63Γ746907Κ-ΡΘΡ,319920.0,3199.2,100.0,x100_error
698Β46907Κ-0Ξ5,297600.0,297600.0,1.0,genuine
ΨΞΥΥ46907Κ-ΥΩΛ,296856.0,2968.56,100.0,x100_error
ΡΡ2Μ46907Κ-ΗΕΦ,283946.0,2839.46,100.0,x100_error
6ΒΒΒ46907Κ-4ΚΑ,161820.0,1618.2,100.0,x100_error
ΩΜ0Γ46907Κ-ΩΤ2,160726.0,160726.0,1.0,genuine
97ΘΜ46907Κ-ΓΕΚ,127317.0,127317.0,1.0,genuine
97ΗΗ46907Κ-ΨΟΓ,109111.0,109111.0,1.0,genuine
6Ο3Ζ46907Κ-Φ0Ρ,99696.0,99696.0,1.0,genuine
9ΓΠ846907Κ-ΩΣΕ,99696.0,99696.0,1.0,genuine
9Ξ0Ω46907Κ-Τ4Κ,92958.0,92958.0,1.0,genuine
Ψ5Ξ346907Κ-13Ζ,92958.0,92958.0,1.0,genuine
659546907Κ-5ΝΖ,92578.0,92578.0,1.0,genuine
ΨΓΛΑ46907Κ-ΧΓΚ,84984.0,84984.0,1.0,genuine
9Ο4Α46907Κ-ΖΨ2,81744.0,81744.0,1.0,genuine
979246907Κ-Η6Ν,81344.0,81344.0,1.0,genuine
ΡΘΝΕ46907Κ-ΛΤΙ,81344.0,81344.0,1.0,genuine
ΨΩΛΨ46907Κ-Ξ5Χ,70457.0,70457.0,1.0,genuine
60Κ446907Κ-5ΩΦ,69936.0,69936.0,1.0,genuine
63ΞΛ46907Κ-ΗΟΚ,69936.0,69936.0,1.0,genuine
9ΛΧΘ46907Κ-ΟΛ9,69936.0,69936.0,1.0,genuine
Ψ6ΙΒ46907Κ-Δ2Λ,69936.0,69936.0,1.0,genuine
9ΣΠΕ46907Κ-ΟΣΡ,67270.0,67270.0,1.0,genuine
ΩΗΥΘ46907Κ-Ξ84,63984.0,63984.0,1.0,genuine
6ΘΗΤ46907Κ-ΨΔΤ,59303.0,59303.0,1.0,genuine
6ΑΛΥ46907Κ-Ν5Σ,58602.0,58602.0,1.0,genuine
9ΡΤ746907Κ-Β52,58094.0,58094.0,1.0,genuine
9ΨΗΛ46907Κ-Γ6Ξ,55800.0,55800.0,1.0,genuine
Ψ4ΙΖ46907Κ-ΖΙΞ,55800.0,55800.0,1.0,genuine
6ΡΘ546907Κ-8ΟΝ,54188.0,54188.0,1.0,genuine
Ω3ΤΓ46907Κ-932,51117.0,51117.0,1.0,genuine
6Δ5Φ46907Κ-ΒΗ7,121272.0,,,parse_fail
ΨΨΗΜ46907Κ-7Υ9,157480.0,,,parse_fail
ΨΚΝΤ46907Κ-ΒΥΤ,50000.0,,,parse_fail
Ρ6ΡΒ46907Κ-ΩΝ3,81840.0,,,parse_fail
