category,ada,issue_date,amount_eur,subject
generic,6Ι4Α46907Κ-ΟΦΔ,2021-10-29,2559126.00,1391
generic,9Ρ2Ρ46907Κ-Θ5Θ,2025-07-30,185093.87,ΧΕ 741/25
generic,ΨΤ4Ψ46907Κ-ΓΟ4,2025-05-30,183743.20,ΧΕ 487/25
generic,ΨΣΧΗ46907Κ-ΧΓΒ,2024-12-17,183257.73,ΧΕ1221/24
generic,Ω5ΒΤ46907Κ-ΔΔ0,2022-07-01,1797.86,ΧΕ 610/22
generic,ΨΔΔ446907Κ-94Ε,2021-11-30,488.06,ΧΕ 1585/21
drug,9ΕΙΘ46907Κ-3ΩΝ,2022-07-22,60647.65,"ACLITAXEL C/S.SOL.IN 6MG/ML BTx1VIALx16, 7ML"
drug,6ΔΓΥ46907Κ-9ΑΖ,2022-04-14,14997.51,HUMAN ALBUMIN SOL.INF 20% BTx1 VIALx50 ML
drug,ΨΔΘ946907Κ-4ΕΔ,2022-04-14,14997.51,HUMAN ALBUMIN SOL.INF 20% BTx1 VIALx50 ML
drug,6Ε9Λ46907Κ-ΔΓΧ,2022-10-20,1382.11,DIPEPTIVEN C/S.SOL.IN 20% (W/V) FLx50 ML
other,619Ω46907Κ-9ΘΡ,2022-10-04,155468.75,869/22
other,6ΔΖ946907Κ-ΞΛΔ,2023-11-06,204.28,VIREAD F.C.TAB 245MG/TAB ΒΤΧ30TAB
payroll,ΡΤΛΣ46907Κ-ΡΣΒ,2024-12-10,223166.44,ΧΡΗΜΑΤΙΚΟ ΕΝΤΑΛΜΑ ΜΙΣΘΟΔΟΣΙΑ Α ΕΞΑΜΗΝΟΥ 2023
payroll,6ΚΛΚ46907Κ-Κ5Χ,2022-09-02,153045.03,ΘΕΜΑ 11 Έγκριση κόστους εφημεριών ιατρών Ιουλίου 2022.
