month,n_payments,total_eur
2021-08,20,239472.45
2021-09,22,150560.09
2021-10,10,59085.92
2021-11,18,108814.3
2021-12,66,174581.11
2022-02,13,78701.83
2022-03,25,207738.79
2022-04,13,231277.68
2022-05,57,670993.09
2022-06,40,233382.03
2022-07,89,369788.97
2022-08,92,145488.16
2022-09,65,159682.37
2022-10,55,154819.19
2022-11,75,789667.25
2022-12,106,308563.11
2023-02,86,657962.61
2023-03,122,226245.84
2023-04,56,171456.11
2023-05,149,401506.69
2023-06,149,560261.5
2023-07,82,293020.42
2023-08,146,546260.98
2023-09,96,373845.87
2023-10,305,741124.29
2023-11,188,384885.42
2023-12,79,319356.71
2024-02,208,500333.73
2024-03,77,317791.64
2024-04,230,912407.89
2024-05,76,315943.15
2024-06,159,426553.24
2024-07,235,845249.97
2024-08,33,149391.44
2024-09,28,103449.58
2024-10,101,218684.42
2024-11,174,384134.61
2024-12,144,525559.17
2025-01,9,71817.22
2025-02,55,249884.55
2025-03,193,16330531.94
2025-04,112,266904.51
2025-05,214,642463.1
2025-06,131,650477.17
2025-07,44,266225.59
2025-08,68,242934.39
2025-09,169,479127.68
2025-10,87,108278.9
2025-11,115,1166957.97
2025-12,228,3691991.32
2026-02,14,292294.88
2026-03,226,462820.78
2026-04,170,403956.51
2026-05,114,850888.27
2026-06,228,855279.02
2026-07,176,353678.86
2026-08,24,63576.26
