org,stratum,ada,api_amount,supplier,issue_date,doc_url
99221929,Μυτιλήνη (DDQI #1 band),9ΟΠ846907Ο-ΝΞΦ,1146.6,ΑΝΑΝΙΑΔΗΣ ΓΕΩΡΓΙΟΣ ΕΕ,2026-01-29,https://diavgeia.gov.gr/doc/9%CE%9F%CE%A0846907%CE%9F-%CE%9D%CE%9E%CE%A6
99221929,Μυτιλήνη (DDQI #1 band),6ΟΗΡ46907Ο-ΗΟΗ,5037.76,ΒΟΚΑΤΕ ΦΑΡΜΑΚΕΥΤΙΚΗ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,2023-10-11,https://diavgeia.gov.gr/doc/6%CE%9F%CE%97%CE%A146907%CE%9F-%CE%97%CE%9F%CE%97
99221929,Μυτιλήνη (DDQI #1 band),ΨΤ7Ω46907Ο-Υ3Λ,683.28,ΤΕΑΒΕ ΕΠΕ,2023-10-13,https://diavgeia.gov.gr/doc/%CE%A8%CE%A47%CE%A946907%CE%9F-%CE%A53%CE%9B
99221929,Μυτιλήνη (DDQI #1 band),ΨΧΡ446907Ο-ΟΚ7,9976.61,ΓΕΝΙΚΗ ΧΗΜΙΚΩΝ ΠΡΟΙΟΝΤΩΝ Α.Ε.,2026-06-09,https://diavgeia.gov.gr/doc/%CE%A8%CE%A7%CE%A1446907%CE%9F-%CE%9F%CE%9A7
99221929,Μυτιλήνη (DDQI #1 band),963Ζ46907Ο-ΘΒΡ,1122.91,DUCASCO ΔΟΥΡΜΟΥΣΟΓΛΟΥ ΑΕΒΕ,2024-01-23,https://diavgeia.gov.gr/doc/963%CE%9646907%CE%9F-%CE%98%CE%92%CE%A1
99221929,Μυτιλήνη (DDQI #1 band),92ΖΠ46907Ο-Α44,3333.0,ΣΤΟΥΜΠΟΣ ΓΕΩΡΓΙΟΣ,2024-03-04,https://diavgeia.gov.gr/doc/92%CE%96%CE%A046907%CE%9F-%CE%9144
99221929,Μυτιλήνη (DDQI #1 band),ΨΓΟΜ46907Ο-7Ι4,36.27,ΔΕΡΚΑ ΙΑΤΡΙΚΑ ΕΠΕ,2024-04-04,https://diavgeia.gov.gr/doc/%CE%A8%CE%93%CE%9F%CE%9C46907%CE%9F-7%CE%994
99221929,Μυτιλήνη (DDQI #1 band),ΩΧΠΞ46907Ο-ΠΝΟ,155.87,DUCASCO ΔΟΥΡΜΟΥΣΟΓΛΟΥ ΑΕΒΕ,2023-09-14,https://diavgeia.gov.gr/doc/%CE%A9%CE%A7%CE%A0%CE%9E46907%CE%9F-%CE%A0%CE%9D%CE%9F
99221929,Μυτιλήνη (DDQI #1 band),911Υ46907Ο-ΣΔΨ,3300.05,ΕΛΕΝΗ ΚΕΚΗ Α.Ε.,2026-06-10,https://diavgeia.gov.gr/doc/911%CE%A546907%CE%9F-%CE%A3%CE%94%CE%A8
99221929,Μυτιλήνη (DDQI #1 band),Ω81546907Ο-ΘΥΞ,685.07,ABC TOYS,2023-10-16,https://diavgeia.gov.gr/doc/%CE%A981546907%CE%9F-%CE%98%CE%A5%CE%9E
99221929,Μυτιλήνη (DDQI #1 band),94ΕΖ46907Ο-ΜΤΠ,226.89,ΙΝΕΞ ΙΑΤΡΙΚΑ Α.Ε.,2025-12-04,https://diavgeia.gov.gr/doc/94%CE%95%CE%9646907%CE%9F-%CE%9C%CE%A4%CE%A0
99221929,Μυτιλήνη (DDQI #1 band),9Β7Φ46907Ο-ΞΣΙ,413.36,RETHINK ΑΕΒΕ,2026-06-09,https://diavgeia.gov.gr/doc/9%CE%927%CE%A646907%CE%9F-%CE%9E%CE%A3%CE%99
99221929,Μυτιλήνη (DDQI #1 band),6ΧΠ246907Ο-ΟΟ6,1133.6,ΓΕΩΡΓΑΚΗ ΜΑΡΙΝΑ & ΣΙΑ Ε.Ε. (SANImed),2025-07-21,https://diavgeia.gov.gr/doc/6%CE%A7%CE%A0246907%CE%9F-%CE%9F%CE%9F6
99221929,Μυτιλήνη (DDQI #1 band),ΡΕΡ646907Ο-Ρ4Μ,47.39,ΒΑΛΤΑΣ ΙΑΤΡΙΚΑ & ΟΡΘΟΠΕΔΙΚΑ ΒΟΗΘΗΜΑΤΑ Ι.,2023-10-20,https://diavgeia.gov.gr/doc/%CE%A1%CE%95%CE%A1646907%CE%9F-%CE%A14%CE%9C
99221929,Μυτιλήνη (DDQI #1 band),ΨΑΖΓ46907Ο-ΒΥΖ,508.95,ΣΠΑΝΟΣ ΝΙΚΟΛΑΟΣ Ε.Ε.,2025-06-18,https://diavgeia.gov.gr/doc/%CE%A8%CE%91%CE%96%CE%9346907%CE%9F-%CE%92%CE%A5%CE%96
99221929,Μυτιλήνη (DDQI #1 band),63ΕΑ46907Ο-9ΝΔ,6397.47,MERCK  A.E.,2025-01-14,https://diavgeia.gov.gr/doc/63%CE%95%CE%9146907%CE%9F-9%CE%9D%CE%94
