org,ada,issue_date,subject,award_amount,supplier_afm,supplier_name
99221993,984Χ4690ΩΧ-Ρ42,2026-02-05,ΤΡΟΠΟΠΟΙΗΣΗ ΤΗΣ ΥΠ’ ΑΡΙΘΜ. 11/07/2361/37637/24-11-2025 ΑΠΟΦΑΣΗΣ ΣΥΓΚΡΟΤΗΣΗΣ ΕΠΙΤΡΟΠΗΣ  ΔΙΕΝΕΡΓΕΙΑΣ ΚΑΙ ΑΞΙΟΛΟΓΗΣΗΣ ΤΟΥ ΑΡΙΘ. 508/2025 ΑΝΟΙΚΤΟΥ ΗΛΕΚΤΡΟΝΙΚΟΥ ΔΙΑΓΩΝΙΣΜΟΥ ΚΑΤΩ ΤΩΝ ΟΡΙΩΝ ΓΙΑ ΤΗΝ «ΠΡΟΜΗΘΕΙ,,,
99221993,9Χ9Θ4690ΩΧ-ΡΨ9,2025-12-17,ΔΙΑΚΗΡΥΞΗ Αριθμ. 376/2025 ΑΝΟΙΚΤΟΥ ΗΛΕΚΤΡΟΝΙΚΟΥ ΔΙΑΓΩΝΙΣΜΟΥ ΑΝΩ ΤΩΝ ΟΡΙΩΝ ΓΙΑ ΤΗΝ «ΠΡΟΜΗΘΕΙΑ ΑΝΑΛΩΣΙΜΩΝ ΥΛΙΚΩΝ ΓΙΑ ΤΟ ΟΥΡΟΛΟΓΙΚΟ ΤΜΗΜΑ ΓΙΑ ΤΗΝ ΚΑΛΥΨΗ ΤΩΝ ΑΝΑΓΚΩΝ ΤΟΥ Γ.Ν.Α. «Ο ΕΥΑΓΓΕΛΙΣΜΟΣ-ΠΟΛΥΚΛΙΝΙΚΗ,505193.13,,
99221986,9Θ1Χ4690ΩΔ-ΔΝΦ,2025-01-10,Έγκριση του πρακτικού αξιολόγησης και κατακύρωση της της Δ53/2024 ΔΠΤ Πρόσκλησης σε διαδικασία διαπραγμάτευσης σύμφωνα με το άρθρο 32 παρ. 2 εδ. β περ. γγ) και του άρθρου 32Α του ν. 4412/2016 ως ισχύε,135200.0,,
99221986,6ΑΥ04690ΩΔ-814,2025-01-09,"ΕΓΚΡΙΣΗ ΠΡΑΚΤΙΚΩΝ ΑΞΙΟΛΟΓΗΣΗΣ ΔΙΚΑΙΟΛΟΓΗΤΙΚΩΝ ΣΥΜΕΤΟΧΗΣ, ΤΕΧΝΙΚΩΝ, ΟΙΚΟΝΟΜΙΚΩΝ ΠΡΟΣΦΟΡΩΝ ΚΑΙ ΚΑΤΑΚΥΡΩΣΗΣ ΤΟΥ Δ44/2024 ΔΔ ΔΙΑΓΩΝΙΣΜΟΥ ΓΙΑ ΤΗΝ ΑΝΑΔΕΙΞΗ ΑΝΑΔΟΧΟΥ ΓΙΑ ΤΗΝ «ΠΑΡΟΧΗ ΥΠΗΡΕΣΙΩΝ ΓΙΑ ΤΗΝ ΤΜΗΜΑΤΙ",,,
99221986,ΨΦΣΜ4690ΩΔ-733,2024-12-27,Έγκριση Πρακτικών Δ24/2024 ΔΔ Διεθνούς Ανοιχτού Ηλεκτρονικού διαγωνισμού για την προμήθεια ξενοδοχειακού εξοπλισμού (CPV: 39313000-9) (αριθμ. ΕΣΗΔΗΣ 350652),,,
99221986,ΨΑΡΥ4690ΩΔ-Ψ5Θ,2024-12-27,"Απόφαση ΔΣ έγκρισης παράτασης της Δ24/2020 σύμβασης, όπως τροποποιήθηκε και ισχύει, με την εταιρεία ΑΝΟΔΙΚΗ SERVICES ΕΠΕ για την παροχή υπηρεσιών καθαριότητας των κτιριακών εγκαταστάσεων και του περιβ",,,
99221986,979Α4690ΩΔ-969,2024-12-17,Τροποποίηση κατακύρωσης του Δ16/2021 (Τμ. 5 & 7) διαγωνισμού προμήθειας υγειονομικού υλικού λόγω σφάλματος στο ποσοστό ΦΠΑ συμβατικού είδους με τον ανάδοχο ΙΝΕΞ ΑΕΕ,,,
99221986,6ΓΚ64690ΩΔ-Φ49,2024-11-25,Έγκριση του Πρακτικού Αξιολόγησης Προσφορών και κατακύρωσης αποτελέσματος της Δ52/2024 ΔΠΤ Πρόσκλησης σε διαδικασία διαπραγμάτευσης σύμφωνα με το άρθρο 32Α και το άρθρο 32 παρ. 2 εδ. β)περ.ββ και γγ κ,,,
99221986,ΨΟ1Ν4690ΩΔ-457,2024-11-18,"Έγκριση του πρακτικού αξιολόγησης και κατακύρωση της Δ46/2024ΔΠΤ πρόσκλησης σε διαδικασία διαπραγμάτευσης σύμφωνα με το άρθρο 32 παρ. 2 εδ. β περ. γγ και του άρθρου 32Α του ν. 4412/2016 ως ισχύει, για",,,
99221986,Ψ1Χ64690ΩΔ-ΓΣΙ,2024-11-14,Έγκριση πρακτικού και κατακύρωση αποτελέσματος της Δ48/2024ΔΠΤ Πρόσκλησης σε διαδικασία διαπραγμάτευσης σύμφωνα με το άρθρο 32 παρ. 2 εδ. β περ. ββ) και γγ) και του άρθρου 32Α του ν. 4412/2016 ως ισχύ,,,
99221986,9Ν364690ΩΔ-ΠΒΘ,2024-11-04,Εγκριση πρακτικών του Δ39/2024 ΔΔ Δημόσιου Ανοικτού Ηλεκτρονικού Διαγωνισμού για την ανάδειξη αναδόχου για την παροχή υπηρεσιών συμβουλευτικής και φορολογικής υποστήριξης του Νοσοκομείου σχετικά με τι,,,
99221986,9ΟΑΧ4690ΩΔ-678,2024-10-24,Απόφαση ΔΣ έγκρισης πρακτικών και οριστικής κατακύρωσης του Δ23/2024 Διεθνούς Ανοικτού Ηλεκτρονικού Διαγωνισμού για την ανάδειξη αναδόχου για την παροχή υπηρεσιών Καθαριότητας των Κτιριακών Εγκαταστάσ,,,
99221986,61ΠΓ4690ΩΔ-ΙΜΡ,2024-10-24,Απόφαση ΔΣ έγκρισης χρήσης του δικαιώματος του Νοσοκομείου για μονομερή παράταση της σύμβασης Δ28/2022 για τη συντήρηση και τεχνική υποστήριξη των Η/Μ εγκαταστάσεων του Νοσοκομείου με την ανάδοχο εται,,,
99221986,6ΩΛ64690ΩΔ-ΙΒ4,2024-10-03,Απόφαση ΔΣ έγκρισης πρακτικών διενέργειας και οριστικής κατακύρωσης του Δ29/2023 διεθνούς ανοικτού ηλεκτρονικού διαγωνισμού για την προμήθεια Ιματισμού για τις ανάγκες του Νοσοκομείου,,,
