ts,org,label,type,rc,secs,summary,stderr_tail
2026-08-15T12:44:59,99221993,ΠΕΡ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΑΘΗΝΩΝ 'Ο ΕΥΑΓΓΕΛΙΣΜΟΣ',Β.2.2,0,833,"VERIFIED TOTAL (EUR)   : 1,219,776,855.44",
2026-08-15T12:45:30,99221993,ΠΕΡ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΑΘΗΝΩΝ 'Ο ΕΥΑΓΓΕΛΙΣΜΟΣ',Β.2.1,0,32,"VERIFIED TOTAL (EUR)   : 1,172,349.90",
2026-08-15T15:14:05,99221986,Π.Γ.Ν. «ΑΤΤΙΚΟΝ» - Γ.Ν.Δ.Α. «Η ΑΓΙΑ ΒΑΡΒΑΡΑ» ΟΡΓΑΝΙΚΗ ΜΟΝΑΔΑ ΕΔΡΑΣ Π.Γ.Ν. «ΑΤΤΙΚΟΝ»,Β.2.2,0,8915,"VERIFIED TOTAL (EUR)   : 575,152,441.98",
2026-08-15T15:14:37,99221986,Π.Γ.Ν. «ΑΤΤΙΚΟΝ» - Γ.Ν.Δ.Α. «Η ΑΓΙΑ ΒΑΡΒΑΡΑ» ΟΡΓΑΝΙΚΗ ΜΟΝΑΔΑ ΕΔΡΑΣ Π.Γ.Ν. «ΑΤΤΙΚΟΝ»,Β.2.1,0,32,"VERIFIED TOTAL (EUR)   : 285,827.59",
2026-08-15T16:39:05,99222000,ΠΕΡ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ 'ΙΠΠΟΚΡΑΤΕΙO',Β.2.2,0,5068,"VERIFIED TOTAL (EUR)   : 227,214,023.11",
2026-08-15T16:39:39,99222000,ΠΕΡ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ 'ΙΠΠΟΚΡΑΤΕΙO',Β.2.1,0,34,"VERIFIED TOTAL (EUR)   : 195,324.56",
2026-08-15T16:40:34,99222013,ΠΕΡΙΦ. ΠΑΝΕΠΙΣΤ. ΓΕΝ. ΝΟΣΟΚ. ΠΑΤΡΩΝ,Β.2.2,0,55,"VERIFIED TOTAL (EUR)   : 141,937,197.66",
2026-08-15T16:41:03,99222013,ΠΕΡΙΦ. ΠΑΝΕΠΙΣΤ. ΓΕΝ. ΝΟΣΟΚ. ΠΑΤΡΩΝ,Β.2.1,0,29,"VERIFIED TOTAL (EUR)   : 526,230.72",
2026-08-15T16:42:23,99221992,ΠΕΡ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΑΘΗΝΩΝ 'Γ. ΓΕΝΝΗΜΑΤΑΣ',Β.2.2,0,80,"VERIFIED TOTAL (EUR)   : 540,050,225.33",
2026-08-15T16:42:58,99221992,ΠΕΡ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΑΘΗΝΩΝ 'Γ. ΓΕΝΝΗΜΑΤΑΣ',Β.2.1,0,35,"VERIFIED TOTAL (EUR)   : 602,863.52",
2026-08-15T16:47:24,99221988,ΠΕΡ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙO ΑΘΗΝΩΝ 'ΙΠΠΟΚΡΑΤΕΙΟ',Β.2.2,0,266,"VERIFIED TOTAL (EUR)   : 424,352,935.12",
2026-08-15T16:47:55,99221988,ΠΕΡ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙO ΑΘΗΝΩΝ 'ΙΠΠΟΚΡΑΤΕΙΟ',Β.2.1,0,32,"VERIFIED TOTAL (EUR)   : 1,354,836.61",
2026-08-15T16:54:23,99221998,ΠΑΝΕΠΙΣΤΗΜΙΑΚΟ ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ ΑΧΕΠΑ,Β.2.2,0,387,"VERIFIED TOTAL (EUR)   : 306,746,562.75",
2026-08-15T16:54:57,99221998,ΠΑΝΕΠΙΣΤΗΜΙΑΚΟ ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ ΑΧΕΠΑ,Β.2.1,0,35,"VERIFIED TOTAL (EUR)   : 320,025.04",
2026-08-15T17:02:34,99221999,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ «Γ. ΠΑΠΑΝΙΚΟΛΑΟΥ»,Β.2.2,0,457,"VERIFIED TOTAL (EUR)   : 401,640,793.59",
2026-08-15T17:03:07,99221999,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ «Γ. ΠΑΠΑΝΙΚΟΛΑΟΥ»,Β.2.1,0,33,"VERIFIED TOTAL (EUR)   : 7,688.00",
2026-08-15T17:08:08,99221994,ΠΕΡ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΑΘΗΝΩΝ (ΛΑΙΚΟ),Β.2.2,0,301,"VERIFIED TOTAL (EUR)   : 535,788,183.34",
2026-08-15T17:08:40,99221994,ΠΕΡ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΑΘΗΝΩΝ (ΛΑΙΚΟ),Β.2.1,0,32,"VERIFIED TOTAL (EUR)   : 141,500.66",
2026-08-15T17:09:13,99221996,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΑΤΤΙΚΗΣ (ΚΑΤ),Β.2.2,0,33,"VERIFIED TOTAL (EUR)   : 248,555,788.17",
2026-08-15T17:09:44,99221996,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΑΤΤΙΚΗΣ (ΚΑΤ),Β.2.1,0,32,VERIFIED TOTAL (EUR)   : 0.00,
2026-08-15T17:10:34,99222011,ΠΕΡΙΦ. ΠΑΝΕΠΙΣΤ. ΓΕΝ. ΝΟΣΟΚ. ΙΩΑΝΝΙΝΩΝ,Β.2.2,0,49,"VERIFIED TOTAL (EUR)   : 366,924,664.58",
2026-08-15T17:11:04,99222011,ΠΕΡΙΦ. ΠΑΝΕΠΙΣΤ. ΓΕΝ. ΝΟΣΟΚ. ΙΩΑΝΝΙΝΩΝ,Β.2.1,0,30,"VERIFIED TOTAL (EUR)   : 5,140,648.03",
