ada,item,paid,ceiling,paid_vs_ceiling_pct
675Π46907Κ-4ΤΓ,ΓΑΝΤΙΑ,0.226,0.43,52.6
6ΣΦ446907Κ-5ΗΙ,ΔΙΑΓΝΩΣΤΙΚΟΙ ΚΑΘΕΤΗΡΕΣ,8.5,14.0,60.7
9Π6Ο46907Κ-Ρ3Ο,ΔΙΑΓΝΩΣΤΙΚΟΙ ΚΑΘΕΤΗΡΕΣ,8.5,14.0,60.7
9ΞΣ046907Κ-9ΡΙ,ΔΙΑΓΝΩΣΤΙΚΟΙ ΚΑΘΕΤΗΡΕΣ ΣΤΕΦΑΝΙΟΓΡΑΦΙΑΣ,8.5,11.0,77.3
9ΧΜΝ46907Κ-8Ω9,επιθεματα αυτοκολλητα,0.045,0.0645,69.8
6ΘΝ746907Κ-8ΨΩ,ΕΠΙΘΕΜΑΤΑ ΑΥΤΟΚΟΛΛΗΤΑ,0.0605,56.0,0.1
Ψ9ΚΜ46907Κ-8ΣΥ,ΕΠΙΘΕΜΑΤΑ ΑΥΤΟΚΟΛΛΗΤΑ,0.023,57.64,0.0
ΨΓΞ846907Κ-ΟΞ1,ΕΠΙΘΕΜΑΤΑ ΑΥΤΟΚΟΛΛΗΤΑ,0.07,91.0,0.1
94ΞΖ46907Κ-392,ΕΠΙΘΕΜΑΤΑ ΑΥΤΟΚΟΛΛΗΤΑ,0.06,78.0,0.1
6ΜΡΦ46907Κ-Ο1Ο,ΟΔΗΓΟΙ ΚΑΘΕΤΗΡΕΣ ΑΓΓΕΙΟΠΛΑΣΤΙΚΗΣ,29.7,40.0,74.2
Ψ8Χ846907Κ-0ΦΨ,ΟΔΗΓΟΙ ΚΑΘΕΤΗΡΕΣ ΑΓΓΕΙΟΠΛΑΣΤΙΚΗΣ,29.7,40.0,74.2
6ΑΝ046907Κ-69Θ,ΟΔΗΓΟΙ ΚΑΘΕΤΗΡΕΣ ΑΓΓΕΙΟΠΛΑΣΤΙΚΗΣ,25.7,47.0,54.7
ΨΛ5Ψ46907Κ-ΘΔΩ,ΟΔΗΓΟΙ ΚΑΘΕΤΗΡΕΣ ΑΓΓΕΙΟΠΛΑΣΤΙΚΗΣ,29.7,35.0,84.9
661Ι46907Κ-3ΣΟ,ΣΩΛΗΝΑΡΙΑ ΑΙΜΟΛΗΨΙΑΣ,0.3,0.32,93.8
Ψ75546907Κ-8ΨΨ,ΠΡΟΓΕΜΙΣΜΕΝΕΣ ΣΥΡΙΓΓΕΣ,0.77,0.88,87.5
677Χ46907Κ-Ξ0Μ,ΠΡΟΓΕΜΙΣΜΕΝΕΣ ΣΥΡΙΓΓΕΣ,0.73,0.94,77.7
ΨΧΓΜ46907Κ-Ω76,ΠΡΟΓΕΜΙΣΜΕΝΕΣ ΣΥΡΙΓΓΕΣ,0.85,0.88,96.6
911Δ46907Κ-Ξ2Σ,ΠΡΟΓΕΜΙΣΜΕΝΕΣ ΣΥΡΙΓΓΕΣ,0.67,0.88,76.1
ΨΣΔΓ46907Κ-ΖΚΩ,ΟΔΗΓΟΙ ΚΑΘΕΤΗΡΕΣ,29.7,47.0,63.2
60ΤΣ46907Κ-Ο23,ΧΗΜΕΙΟΠΡΟΣΤΑΤΕΥΤΙΚΗ ΒΕΛΟΝΑ 16G,0.59,0.88,67.0
