rank,uid,label,ddqi,payee,kae,amount,names,recency,value_eur,rows
1,99221929,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΜΥΤΙΛΗΝΗΣ 'ΒΟΣΤΑΝΕ,99.1,35.0,25.0,20.0,9.1,10.0,40004216.91,7031
2,99221948,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΧΑΛΚΙΔΑΣ,97.4,35.0,25.0,18.0,9.4,10.0,57371010.58,9380
3,99221921,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΚΟΜΟΤΗΝΗΣ,97.2,35.0,25.0,18.0,9.2,10.0,51506358.13,7034
4,99221908,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ 'ΑΓΙΟ,91.8,35.0,25.0,20.0,1.8,10.0,40761861.91,9865
5,99221942,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΣΕΡΡΩΝ,88.7,35.0,25.0,10.0,8.7,10.0,76706573.91,10202
6,99221923,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΛΑΜΙΑΣ,88.4,34.7,25.0,10.0,8.7,10.0,118486800.96,13633
7,99222013,ΠΕΡΙΦ. ΠΑΝΕΠΙΣΤ. ΓΕΝ. ΝΟΣΟΚ. ΠΑΤΡΩΝ,85.8,35.0,25.0,6.0,9.9,10.0,142463428.38,7830
8,99221872,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ «Γ. ΓΕΝ,84.8,35.0,25.0,14.0,0.8,10.0,72770504.95,12981
9,99221912,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΚΑΛΑΜΑΤΑΣ,81.3,21.9,25.0,18.0,6.4,10.0,113846002.27,19757
10,99221900,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΓΙΑΝΝΙΤΣΩΝ,78.9,35.0,25.0,0.0,8.9,10.0,32309073573285.88,10377
11,99221486,Γ. ΠΑΝΑΡΚΑΔΙΚΟ ΝΟΣ. ΤΡΙΠΟΛΗΣ «Η ΕΥΑΓΓΕ,78.8,35.0,25.0,0.0,8.8,10.0,96906159365530.64,15702
12,99221992,ΠΕΡ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΑΘΗΝΩΝ 'Γ. ΓΕΝΝΗΜΑ,78.7,35.0,25.0,0.0,8.8,10.0,540653088.85,15104
13,99221891,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΑΘΗΝΩΝ 'ΚΟΡΓΙΑΛΕΝΕ,78.5,32.7,25.0,2.0,8.8,10.0,93007260.24,5521
