ada,date,subject,qty,unit,total,official,discount_pct
605Σ46907Κ-Η79,2022-06-09,TYSABRI C/S.SOL.IN 300MG/VIAL (20MG/ML) BT x 1 VIAL x 1,15,985.96,14631.61,1037.85,5.0
60ΜΘ46907Κ-ΡΥΩ,2022-09-01,HERCEPTIN INJ.SOL 600MG/5ML BTx1VIALx5ML,14,1019.63,14274.79,1012.54,-0.7
61ΜΚ46907Κ-Κ8Ω,2022-03-15,TECENTRIQ C/S.SOL.IN 1200MG/VIAL (20ML) 1 VIAL x 20ML,4,3309.21,13236.86,3286.21,-0.7
61ΤΕ46907Κ-Η0Μ,2022-06-09,TYSABRI C/S.SOL.IN 300MG/VIAL (20MG/ML) BT x 1 VIAL x 1,15,985.96,14631.61,1037.85,5.0
62ΚΛ46907Κ-ΩΑΛ,2022-06-10,TECENTRIQ C/S.SOL.IN 1200MG/VIAL (20ML) 1 VIAL x 20ML,4,3309.21,13236.86,3286.21,-0.7
63ΞΘ46907Κ-Π43,2022-12-13,OPDIVO C/S.SOL.IN 10MG/ML BTx1VIALx10ML,16,921.88,14750.05,915.47,-0.7
64ΜΙ46907Κ-1ΝΖ,2022-06-22,ΒΕΛΟΝΕΣ ΧΗΜΕΙΟΘΕΡΑΠΕΙΑΣ G20X20MM,1,1.48,2.45,,
64ΝΦ46907Κ-2ΜΤ,2022-10-31,BAVENCIO C/S.SOL.IN 20MG/ML BTx1 VIAL x 10ML,21,694.85,14591.85,690.02,-0.7
65ΡΧ46907Κ-Π3Χ,2022-11-11,"HALAVEN INJ.SOL 0,44MG/ML BTx1VIALx2ML",53,279.81,14830.2,277.87,-0.7
665Σ46907Κ-ΥΥΨ,2022-03-11,ΚΑΘΕΤΗΡΕΣ,2,2.44,4.0,,
68ΞΝ46907Κ-ΘΓ0,2022-05-30,"REPLAGAL C/S.SOL.IN 1MG/ML BTx 1 VIAL x 3,5 ML",12,1207.31,14487.75,1198.92,-0.7
69ΛΣ46907Κ-ΧΩΗ,2022-05-11,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14M,7,2024.06,14168.42,2009.99,-0.7
6Α2Ω46907Κ-Μ89,2022-08-10,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14M,7,2024.06,14168.42,2009.99,-0.7
6ΑΦΗ46907Κ-ΕΙΝ,2022-02-01,MVASI® C/S.SOL.IN 25MG/ML 1 VIAL x 4ML,83,179.93,14934.3,192.5,6.5
6ΒΥΡ46907Κ-ΜΚΔ,2021-11-16,OPDIVO C/S.SOL.IN 10MG/ML BTx1VIALx24ML,6,2233.27,13399.65,2217.75,-0.7
