uid,name,label,afm,vat,status,supervisor,no_org_block
99221948,ΓΝ ΧΑΛΚΙΔΑΣ-ΓΝ-ΚΥ ΚΑΡΥΣΤΟΥ-ΓΝ-ΚΥ ΚΥΜΗΣ,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΧΑΛΚΙΔΑΣ,999189136,999189136,active,ΥΠΟΥΡΓΕΙΟ ΥΓΕΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΑΣΦΑΛΙΣΕΩΝ,
99221484,ΑΝΤΙΚΑΡΚΙΝΙΚΟ ΟΓΚΟΛΟΓ ΝΟΣΟΚ ΑΘΗΝΩΝ Ο ΑΓΙΟΣ ΣΑΒΒΑΣ,Γ. ΑΝΤΙΚΑΡΚΙΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ«ΑΓ. ΣΑΒΒΑΣ»,090158739,090158739,active,ΥΠΟΥΡΓΕΙΟ ΥΓΕΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΑΣΦΑΛΙΣΕΩΝ,
99221485,1 ΥΠΕ ΑΤΤΙΚΗΣ ΓΕΝΙΚΟ ΟΓΚΟΛΟΓΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΚΗΦΙΣΙΑΣ ΟΙ ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ,Γ. ΟΓΚΟΛΟΓΙΚΟ ΝΟΣ. ΚΗΦΙΣΙΑΣ «ΟΙ ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ»,998965076,998965076,active,ΥΠΟΥΡΓΕΙΟ ΥΓΕΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΑΣΦΑΛΙΣΕΩΝ,
99221891,Γ.Ν.Α. ΚΟΡΓΙΑΛΕΝΕΙΟ - ΜΠΕΝΑΚΕΙΟ Ε.Ε.Σ.,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΑΘΗΝΩΝ 'ΚΟΡΓΙΑΛΕΝΕΙΟ ΜΠΕΝΑΚΕΙΟ',090013225,090013225,active,ΥΠΟΥΡΓΕΙΟ ΥΓΕΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΑΣΦΑΛΙΣΕΩΝ,
99221929,"Γ.Ν. ΜΥΤΙΛΗΝΗΣ ""ΒΟΣΤΑΝΕΙΟ""",ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΜΥΤΙΛΗΝΗΣ 'ΒΟΣΤΑΝΕΙΟ',999145895,999145895,active,ΥΠΟΥΡΓΕΙΟ ΥΓΕΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΑΣΦΑΛΙΣΕΩΝ,
99221936,Γ.Ν.ΠΡΕΒΕΖΑΣ.,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΠΡΕΒΕΖΗΣ,999852909,999852909,active,ΥΠΟΥΡΓΕΙΟ ΥΓΕΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΑΣΦΑΛΙΣΕΩΝ,
99221911,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΚΑΒΑΛΑΣ,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΚΑΒΑΛΑΣ,999157568,999157568,active,ΥΠΟΥΡΓΕΙΟ ΥΓΕΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΑΣΦΑΛΙΣΕΩΝ,
99221483,ΑΝΤΙΚΑΡΚΙΝΙΚΟ ΝΟΣΟΚ. ΘΕΣ/ΝΙΚΗΣ ΘΕΑΓΕΝΕΙΟ,ΑΝΤΙΚΑΡΚΙΝΙΚΟ  ΓΕΝ.ΝΟΣΟΚΟΜΕΙΟ ΘΕΣ/ΝΙΚΗΣ 'ΘΕΑΓΕΝΕΙΟ,999432337,999432337,active,ΥΠΟΥΡΓΕΙΟ ΥΓΕΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΑΣΦΑΛΙΣΕΩΝ,
99221895,Γ.Ν. ΑΜΦΙΣΣΑΣ,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΑΜΦΙΣΣΑΣ,999918141,999918141,active,ΥΠΟΥΡΓΕΙΟ ΥΓΕΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΑΣΦΑΛΙΣΕΩΝ,
99221900,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΓΙΑΝΝΙΤΣΩΝ,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΓΙΑΝΝΙΤΣΩΝ,997233285,999296624,active,ΥΠΟΥΡΓΕΙΟ ΥΓΕΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΑΣΦΑΛΙΣΕΩΝ,
