rank,uid,label,vat,all_value,named_value,anon_value,suspect_value,b21_share_pct,anon_share_pct,payments
1,99221993,ΠΕΡ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΑΘΗΝΩΝ 'Ο ΕΥΑΓΓΕΛΙΣΜΟΣ',999336270,171296367.57,171296367.57,0.0,0.0,0.3,0.0,2930
2,99221986,Π.Γ.Ν. «ΑΤΤΙΚΟΝ» - Γ.Ν.Δ.Α. «Η ΑΓΙΑ ΒΑΡΒΑΡΑ» ΟΡΓΑΝΙΚΗ ΜΟΝΑΔΑ ΕΔΡΑΣ Π.Γ.Ν. «ΑΤΤΙΚΟΝ»,999696736,133519523.82,133519523.82,0.0,0.0,0.2,0.0,3465
3,99222000,ΠΕΡ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ 'ΙΠΠΟΚΡΑΤΕΙO',999432325,106348796.46,65914480.29,40434316.17,0.0,0.2,38.0,5128
4,99222013,ΠΕΡΙΦ. ΠΑΝΕΠΙΣΤ. ΓΕΝ. ΝΟΣΟΚ. ΠΑΤΡΩΝ,999100816,105755650.29,105755650.29,0.0,0.0,0.0,0.0,5686
5,99221992,ΠΕΡ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΑΘΗΝΩΝ 'Γ. ΓΕΝΝΗΜΑΤΑΣ',999332756,99137765.14,99137765.14,0.0,0.0,0.0,0.0,3168
6,99221988,ΠΕΡ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙO ΑΘΗΝΩΝ 'ΙΠΠΟΚΡΑΤΕΙΟ',999332732,97970392.44,97970392.44,0.0,0.0,0.1,0.0,6608
7,99221998,ΠΑΝΕΠΙΣΤΗΜΙΑΚΟ ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ ΑΧΕΠΑ,090024750,84691410.74,69442136.87,15249273.87,0.0,0.2,18.0,7012
8,99221999,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ «Γ. ΠΑΠΑΝΙΚΟΛΑΟΥ»,999294028,79575239.95,79575239.95,0.0,0.0,0.0,0.0,10833
9,99221994,ΠΕΡ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΑΘΗΝΩΝ (ΛΑΙΚΟ),999332719,74096532.34,74096532.34,0.0,45412150.0,0.1,0.0,3587
10,99221996,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΑΤΤΙΚΗΣ (ΚΑΤ),998965064,61337473.42,61337473.42,0.0,0.0,0.0,0.0,3435
11,99222011,ΠΕΡΙΦ. ΠΑΝΕΠΙΣΤ. ΓΕΝ. ΝΟΣΟΚ. ΙΩΑΝΝΙΝΩΝ,999426853,57263422.95,57263422.95,0.0,999426109.0,0.0,0.0,3246
12,99222004,ΠΕΡ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΝΟΣΗΜΑΤΩΝ ΘΩΡΑΚΑ ΑΘΗΝΩΝ 'Η ΣΩΤΗΡΙΑ,999332720,49442795.96,49442795.96,0.0,303167158.0,0.0,0.0,3149
13,99221483,ΑΝΤΙΚΑΡΚΙΝΙΚΟ  ΓΕΝ.ΝΟΣΟΚΟΜΕΙΟ ΘΕΣ/ΝΙΚΗΣ 'ΘΕΑΓΕΝΕΙΟ,999432337,48675461.0,48675461.0,0.0,0.0,34.7,0.0,5041
14,99222003,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΝΙΚΑΙΑΣ ΠΕΙΡΑΙΑ ΑΓΙΟΣ ΠΑΝΤΕΛΕΗΜΩΝ,999516730,45416639.47,45383786.64,32852.83,0.0,0.0,0.1,3476
15,99221905,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΕΔΕΣΣΑΣ,999834338,45264555.4,9026404.39,36238151.01,1800688889.0,0.1,80.1,2132
16,99221985,ΠΑΝΕΠΙΣΤΗΜΙΑΚΟ ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΕΒΡΟΥ,999387835,45093542.2,45093542.2,0.0,2092269684.0,2.3,0.0,4672
17,99221891,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΑΘΗΝΩΝ 'ΚΟΡΓΙΑΛΕΝΕΙΟ ΜΠΕΝΑΚΕΙΟ',090013225,42794796.3,42794796.3,0.0,0.0,0.0,0.0,2626
18,99222007,ΠΕΡ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΠΑΤΡΩΝ 'ΑΓΙΟΣ ΑΝΔΡΕΑΣ',999378003,41066697.06,41066697.06,0.0,0.0,0.0,0.0,3184
19,99221484,Γ. ΑΝΤΙΚΑΡΚΙΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ«ΑΓ. ΣΑΒΒΑΣ»,090158739,34494454.51,30389872.16,4104582.35,0.0,0.1,11.9,3468
20,99222006,ΠΕΡ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΠΑΙΔΩΝ 'Η ΑΓΙΑ ΣΟΦΙΑ',999332770,31787620.47,31439332.19,348288.28,996985473.0,5.6,1.1,3752
21,99222002,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,996956397,30253836.05,28769184.05,1484652.0,0.0,0.0,4.9,4017
22,99221911,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΚΑΒΑΛΑΣ,999157568,29240722.94,29240722.94,0.0,0.0,0.1,0.0,4313
23,99221897,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΑΡΤΑΣ,999130600,25922727.28,19045197.91,6877529.37,0.0,7.4,26.5,2434
24,99221923,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΛΑΜΙΑΣ,999354460,25205816.71,25205816.71,0.0,0.0,0.0,0.0,3459
25,99221899,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΒΟΛΟΥ 'ΑΧΙΛΛΟΠΟΥΛΕIO',999501452,23791779.93,23791779.93,0.0,43205900022002.0,1.6,0.0,3453
26,99222001,ΠΕΡ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΙΩΑΝ.'Γ.ΧΑΤΖΗΚΩΣΤΑ',998980227,22739435.55,21378275.21,1361160.34,0.0,16.7,6.0,4057
27,99221900,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΓΙΑΝΝΙΤΣΩΝ,999296624,20535957.83,20535957.83,0.0,32309010000032.0,13.6,0.0,2707
28,99221872,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ «Γ. ΓΕΝΝΗΜΑΤΑΣ»,999476217,19707663.22,19707663.22,0.0,0.0,0.1,0.0,2690
29,99221887,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ - Κ.Υ ΦΙΛΙΑΤΩΝ,099627541,18985126.9,7264776.44,11720350.46,0.0,43.6,61.7,1029
30,99221940,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΡΟΔΟΥ,999052193,18809850.84,14337499.07,4472351.77,94472918.0,0.0,23.8,786
31,99221912,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΚΑΛΑΜΑΤΑΣ,998995401,18239168.4,18239168.4,0.0,0.0,1.6,0.0,4361
32,99221917,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΚΕΡΚΥΡΑΣ,999360466,17223376.69,10420854.85,6802521.84,0.0,0.0,39.5,1896
33,99221485,Γ. ΟΓΚΟΛΟΓΙΚΟ ΝΟΣ. ΚΗΦΙΣΙΑΣ «ΟΙ ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ»,998965076,16683536.36,16683536.36,0.0,0.0,0.0,0.0,2343
34,99221950,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΧΑΝΙΩΝ 'ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ',999444662,15998446.08,14553618.41,1444827.67,0.0,1.3,9.0,2202
35,99221870,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ «ΕΛΕΝΑ ΒΕΝΙΖΕΛΟΥ-ΑΛΕΞΑΝΔΡΑ» ΥΠΟΚΑΤΑΣΤΗΜΑ ΕΛΕΝΑ ΒΕΝΙΖΕΛΟΥ,999332744,14921592.26,8136410.64,6785181.62,0.0,0.9,45.5,1855
36,99221916,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΚΑΤΕΡΙΝΗΣ,999825956,14455465.86,14455465.86,0.0,0.0,0.0,0.0,2433
37,99222005,ΠΕΡ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΠΑΙΔΩΝ 'ΑΓΛΑΙΑ ΚΥΡΙΑΚΟΥ',09000980,14141512.93,10138156.41,4003356.52,0.0,13.1,28.3,1642
38,99221942,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΣΕΡΡΩΝ,999218370,13157079.29,13157079.29,0.0,0.0,0.0,0.0,2185
39,99221486,Γ. ΠΑΝΑΡΚΑΔΙΚΟ ΝΟΣ. ΤΡΙΠΟΛΗΣ «Η ΕΥΑΓΓΕΛΙΣΤΡΙΑ»,999127620,12660170.95,12660170.95,0.0,129208120000008.0,0.6,0.0,3548
40,99221948,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΧΑΛΚΙΔΑΣ,999189136,12357479.55,12317180.15,40299.4,0.0,0.0,0.3,2213
41,99221898,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΒΕΡΟΙΑΣ,999109534,12087718.04,12087718.04,0.0,0.0,0.0,0.0,2501
42,99221937,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΠΤΟΛΕΜΑΙΔΑΣ «ΜΠΟΔΟΣΑΚΕΙΟ»,996922150,12055363.23,12055363.23,0.0,24203040000002.0,0.1,0.0,1610
43,99222015,ΠΡΩΤΟ ΓΕΝ. ΝΟΣ. ΘΕΣ/ΝΙΚΗΣ «ΑΓΙΟΣ ΠΑΥΛΟΣ»,999150010,12051854.89,7432778.54,4619076.35,0.0,0.0,38.3,1605
44,99221929,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΜΥΤΙΛΗΝΗΣ 'ΒΟΣΤΑΝΕΙΟ',999145895,11209227.03,11209227.03,0.0,0.0,0.0,0.0,2059
45,99221908,ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ 'ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ',999476205,11054147.69,11054147.69,0.0,0.0,0.0,0.0,2376
