org,ada,issue_date,subject,doc_url
99222003,6ΗΠΘ46906Ψ-8ΕΣ,2024-10-04,ΑΝΑΛΩΣΙΜΑ ΥΛΙΚΑ ΧΕΙΡΟΥΡΓΕΙΟΥ,https://diavgeia.gov.gr/doc/6ΗΠΘ46906Ψ-8ΕΣ
99222003,69ΝΒ46906Ψ-ΕΝΦ,2024-12-18,ΑΝΑΛΩΣΙΜΑ ΥΛΙΚΑ ΧΕΙΡΟΥΡΓΕΙΟΥ,https://diavgeia.gov.gr/doc/69ΝΒ46906Ψ-ΕΝΦ
99222003,9Κ2646906Ψ-11Δ,2025-05-19,ΑΝΑΛΩΣΙΜΑ ΥΛΙΚΑ ΧΕΙΡΟΥΡΓΕΙΟΥ,https://diavgeia.gov.gr/doc/9Κ2646906Ψ-11Δ
99222003,ΨΦΝ946906Ψ-ΗΥΜ,2025-05-21,ΑΝΑΛΩΣΙΜΑ ΥΛΙΚΑ ΧΕΙΡΟΥΡΓΕΙΟΥ,https://diavgeia.gov.gr/doc/ΨΦΝ946906Ψ-ΗΥΜ
99222003,ΨΠ4Β46906Ψ-25Β,2025-05-23,ΑΝΑΛΩΣΙΜΑ ΥΛΙΚΑ ΧΕΙΡΟΥΡΓΕΙΟΥ,https://diavgeia.gov.gr/doc/ΨΠ4Β46906Ψ-25Β
99222003,ΡΟΤΠ46906Ψ-ΨΡ8,2024-09-09,ΑΝΑΛΩΣΙΜΑ ΥΛΙΚΑ ΧΕΙΡΟΥΡΓΕΙΟΥ,https://diavgeia.gov.gr/doc/ΡΟΤΠ46906Ψ-ΨΡ8
99222003,9ΗΠΘ46906Ψ-ΟΑΖ,2024-10-09,ΑΝΑΛΩΣΙΜΑ ΥΛΙΚΑ ΧΕΙΡΟΥΡΓΕΙΟΥ,https://diavgeia.gov.gr/doc/9ΗΠΘ46906Ψ-ΟΑΖ
99222003,9ΦΕ746906Ψ-ΨΞΩ,2025-07-02,ΑΝΑΛΩΣΙΜΑ ΥΛΙΚΑ ΧΕΙΡΟΥΡΓΕΙΟΥ,https://diavgeia.gov.gr/doc/9ΦΕ746906Ψ-ΨΞΩ
99222003,ΡΟ6Α46906Ψ-ΨΚΛ,2024-10-14,ΑΝΑΛΩΣΙΜΑ ΥΛΙΚΑ ΧΕΙΡ,https://diavgeia.gov.gr/doc/ΡΟ6Α46906Ψ-ΨΚΛ
99222003,6ΦΕ146906Ψ-ΓΕΜ,2025-02-27,ΑΝΑΛΩΣΙΜΑ ΥΛΙΚΑ ΧΕΙΡΟΥΡΓΕΙΟΥ,https://diavgeia.gov.gr/doc/6ΦΕ146906Ψ-ΓΕΜ
99222003,9ΡΟΑ46906Ψ-ΡΑΘ,2024-12-17,ΑΝΑΛΩΣΙΜΑ ΥΛΙΚΑ ΧΕΙΡΟΥΡΓΕΙΟΥ,https://diavgeia.gov.gr/doc/9ΡΟΑ46906Ψ-ΡΑΘ
