ada,year,subject,qty,unit,total
605Σ46907Κ-Η79,2022,TYSABRI C/S.SOL.IN 300MG/VIAL (20MG/ML) BT x 1 VIAL x 15 ML,201.0,1.0,204.0
60ΜΘ46907Κ-ΡΥΩ,2022,HERCEPTIN INJ.SOL 600MG/5ML BTx1VIALx5ML,201.0,1.0,204.0
614Θ46907Κ-Γ0Ξ,2024,"ΕΥΘΥΓΡΑΜΜΟΙ ΕΠΑΝΑΦΟΡΤΙΖΟΜΕΝΟΙ ΚΟΠΤΟΡΑΠΤΕΣ ΜΕ ΜΗΚΟΣ  ΣΥΡΡΑΦΗΣ 80mm 
ΓΙΑ ΠΑΧΕΙΣ ΙΣΤΟΥΣ
ΑΝΤΑΛ",29.0,7.0,202.0
61Ζ346907Κ-62Φ,2023,ΡΑΜΜΑΤΑ,2.0,36.0,70.0
61ΜΚ46907Κ-Κ8Ω,2022,TECENTRIQ C/S.SOL.IN 1200MG/VIAL (20ML) 1 VIAL x 20ML,20.0,1.0,20.0
61ΤΕ46907Κ-Η0Μ,2022,TYSABRI C/S.SOL.IN 300MG/VIAL (20MG/ML) BT x 1 VIAL x 15 ML,201.0,1.0,204.0
62ΚΛ46907Κ-ΩΑΛ,2022,TECENTRIQ C/S.SOL.IN 1200MG/VIAL (20ML) 1 VIAL x 20ML,20.0,1.0,20.0
62ΩΛ46907Κ-ΖΨΦ,2023,ΔΙΑΓΝΩΣΤΙΚΟΙ ΚΑΘΕΤΗΡΕΣ,4.0,6.0,24.0
63ΞΘ46907Κ-Π43,2022,OPDIVO C/S.SOL.IN 10MG/ML BTx1VIALx10ML,201.0,1.0,204.0
64ΝΦ46907Κ-2ΜΤ,2022,BAVENCIO C/S.SOL.IN 20MG/ML BTx1 VIAL x 10ML,201.0,1.0,204.0
65ΡΧ46907Κ-Π3Χ,2022,"HALAVEN INJ.SOL 0,44MG/ML BTx1VIALx2ML",201.0,1.0,204.0
68ΕΜ46907Κ-Γ7Ω,2024,ΡΑΜΜΑΤΑ,347.0,1.0,347.0
68ΞΝ46907Κ-ΘΓ0,2022,"REPLAGAL C/S.SOL.IN 1MG/ML BTx 1 VIAL x 3,5 ML",2.0,446.0,907.0
69ΙΞ46907Κ-ΗΑΤ,2022,"ΡΥΓΧΟΣ ΥΠΕΡΗΧΗΤΙΚΟΥ ΑΝΑΡΡΟΦΗΤΗΡΑ ΓΙΑ ΑΦΑΙΡΕΣΗ ΟΓΚΟΥ ΝΩΤΙΑΙΟΥ ΜΥΕΛΟΥ ΜΙΑΣ ΧΡΗΣΗΣ
ΣΩΛΗΝΑΣ ΑΝ",1.0,1490.0,1490.0
69ΛΣ46907Κ-ΧΩΗ,2022,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14ML,201.0,1.0,204.0
6Α2Ω46907Κ-Μ89,2022,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14ML,201.0,1.0,204.0
6ΑΝ046907Κ-69Θ,2024,ΟΔΗΓΟΙ ΚΑΘΕΤΗΡΕΣ ΑΓΓΕΙΟΠΛΑΣΤΙΚΗΣ,202.0,4.0,790.0
6ΑΦΗ46907Κ-ΕΙΝ,2022,MVASI® C/S.SOL.IN 25MG/ML 1 VIAL x 4ML,201.0,1.0,204.0
6ΒΥΡ46907Κ-ΜΚΔ,2021,OPDIVO C/S.SOL.IN 10MG/ML BTx1VIALx24ML,201.0,1.0,204.0
6ΒΨ246907Κ-Χ7Β,2023,ΡΑΜΜΑΤΑ,3.0,8.0,24.0
6Γ8Κ46907Κ-6Η1,2022,VECTIBIX C/S.SOL.IN 100MG/5ML VIAL BT x 1 VIAL x 5 ML,201.0,1.0,204.0
6ΓΔ046907Κ-62Ζ,2022,ZAVICEFTA PD.C.S.INF (2+0.5)G /VIAL BTx10 VIALSx20ML,201.0,1.0,204.0
6ΔΙΖ46907Κ-ΤΚΕ,2021,BAVENCIO C/S.SOL.IN 20MG/ML BTx1 VIAL x 10ML,201.0,1.0,204.0
6ΔΞΚ46907Κ-ΓΒΕ,2021,OPDIVO C/S.SOL.IN 10MG/ML BTx1VIALx24ML,201.0,1.0,204.0
6ΔΤΩ46907Κ-Ρ4Ψ,2022,ZAVICEFTA PD.C.S.INF (2+0.5)G /VIAL BTx10 VIALSx20ML,201.0,1.0,204.0
6Ε9Π46907Κ-8Χ6,2022,ERBITUX SOL.INF 5MG/ML BT x 1 VIAL x 20 ML,201.0,1.0,204.0
6ΕΜΕ46907Κ-ΗΑ6,2022,MVASI® C/S.SOL.IN 25MG/ML 1 VIAL x 16ML,201.0,1.0,204.0
