org,ada,subject,doc_url
99221940,Ψ9Π346907Κ-ΣΟΚ,KEYTRUDA C/S.SOL.IN 25MG/ML BTx1 VIALx4ML,https://diavgeia.gov.gr/doc/Ψ9Π346907Κ-ΣΟΚ
99221940,Ψ4ΛΝ46907Κ-ΝΔΨ,KEYTRUDA C/S.SOL.IN 25MG/ML BTx1 VIALx4ML,https://diavgeia.gov.gr/doc/Ψ4ΛΝ46907Κ-ΝΔΨ
99221940,6ΘΚΚ46907Κ-Ν60,KEYTRUDA C/S.SOL.IN 25MG/ML BTx1 VIALx4ML,https://diavgeia.gov.gr/doc/6ΘΚΚ46907Κ-Ν60
99221940,6ΝΓ146907Κ-ΩΦΚ,KEYTRUDA C/S.SOL.IN 25MG/ML BTx1 VIALx4ML,https://diavgeia.gov.gr/doc/6ΝΓ146907Κ-ΩΦΚ
99221940,6ΠΒΦ46907Κ-ΜΚΘ,KEYTRUDA C/S.SOL.IN 25MG/ML BTx1 VIALx4ML,https://diavgeia.gov.gr/doc/6ΠΒΦ46907Κ-ΜΚΘ
99221940,6ΒΨ246907Κ-Χ7Β,ΡΑΜΜΑΤΑ,https://diavgeia.gov.gr/doc/6ΒΨ246907Κ-Χ7Β
99221940,ΨΒ5Ι46907Κ-Α7Φ,ΡΑΜΜΑΤΑ,https://diavgeia.gov.gr/doc/ΨΒ5Ι46907Κ-Α7Φ
99221940,Ψ3ΟΠ46907Κ-Α3Χ,ΡΑΜΜΑΤΑ,https://diavgeia.gov.gr/doc/Ψ3ΟΠ46907Κ-Α3Χ
99221940,61Ζ346907Κ-62Φ,ΡΑΜΜΑΤΑ,https://diavgeia.gov.gr/doc/61Ζ346907Κ-62Φ
99221940,68ΕΜ46907Κ-Γ7Ω,ΡΑΜΜΑΤΑ,https://diavgeia.gov.gr/doc/68ΕΜ46907Κ-Γ7Ω
99221940,Ψ0ΜΦ46907Κ-ΡΚ2,"ΣΕΤ  ΣΠΟΓΓΟΥ PLUS ΜΕΓΕΘΟΣ 15Χ25Χ3 
ΣΕΤ ΔΟΧΕΙΟΥ ΚΑΝΙΣΤΡΟΥ ΚΙΤ 1000ML",https://diavgeia.gov.gr/doc/Ψ0ΜΦ46907Κ-ΡΚ2
