org,ada,subject,doc_url
99221940,6ΥΟΗ46907Κ-ΠΑ5,DESCOVY F.C.TAB (200+25)MG/TAB BTx30TAB,https://diavgeia.gov.gr/doc/6ΥΟΗ46907Κ-ΠΑ5
99221940,ΨΚ5Μ46907Κ-ΒΧΟ,DESCOVY F.C.TAB (200+25)MG/TAB BTx30TAB,https://diavgeia.gov.gr/doc/ΨΚ5Μ46907Κ-ΒΧΟ
99221940,ΩΥ3Τ46907Κ-70Ρ,DESCOVY F.C.TAB (200+25)MG/TAB BTx30TAB,https://diavgeia.gov.gr/doc/ΩΥ3Τ46907Κ-70Ρ
99221940,969Ξ46907Κ-ΜΥΙ,DESCOVY F.C.TAB (200+25)MG/TAB BTx30TAB,https://diavgeia.gov.gr/doc/969Ξ46907Κ-ΜΥΙ
99221940,Ψ2ΦΩ46907Κ-ΙΩΕ,DESCOVY F.C.TAB (200+25)MG/TAB BTx30TAB,https://diavgeia.gov.gr/doc/Ψ2ΦΩ46907Κ-ΙΩΕ
99221940,6ΖΣΕ46907Κ-Ρ9Λ,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL,https://diavgeia.gov.gr/doc/6ΖΣΕ46907Κ-Ρ9Λ
99221940,9ΣΚΔ46907Κ-ΘΣΝ,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL,https://diavgeia.gov.gr/doc/9ΣΚΔ46907Κ-ΘΣΝ
99221940,ΨΧΠΗ46907Κ-2Ο1,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL,https://diavgeia.gov.gr/doc/ΨΧΠΗ46907Κ-2Ο1
99221940,6ΒΙ646907Κ-ΣΚΤ,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL,https://diavgeia.gov.gr/doc/6ΒΙ646907Κ-ΣΚΤ
99221940,6ΩΖΡ46907Κ-Φ89,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL,https://diavgeia.gov.gr/doc/6ΩΖΡ46907Κ-Φ89
99221940,96Ρ446907Κ-Ρ79,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14ML,https://diavgeia.gov.gr/doc/96Ρ446907Κ-Ρ79
99221940,Ω2Ζ046907Κ-Φ3Λ,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14ML,https://diavgeia.gov.gr/doc/Ω2Ζ046907Κ-Φ3Λ
99221940,ΨΜΨ246907Κ-2Τ0,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14ML,https://diavgeia.gov.gr/doc/ΨΜΨ246907Κ-2Τ0
99221940,Ψ1ΣΥ46907Κ-8ΑΒ,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14ML,https://diavgeia.gov.gr/doc/Ψ1ΣΥ46907Κ-8ΑΒ
99221940,ΨΚΖΝ46907Κ-ΧΙΜ,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14ML,https://diavgeia.gov.gr/doc/ΨΚΖΝ46907Κ-ΧΙΜ
99221940,9ΙΜΞ46907Κ-ΖΗΟ,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14ML,https://diavgeia.gov.gr/doc/9ΙΜΞ46907Κ-ΖΗΟ
99221940,992346907Κ-6ΞΜ,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14ML,https://diavgeia.gov.gr/doc/992346907Κ-6ΞΜ
99221940,ΨΗ8346907Κ-ΔΜΠ,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14ML,https://diavgeia.gov.gr/doc/ΨΗ8346907Κ-ΔΜΠ
99221940,6ΩΨΔ46907Κ-9Ρ9,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14ML,https://diavgeia.gov.gr/doc/6ΩΨΔ46907Κ-9Ρ9
99221940,61ΘΦ46907Κ-Α3Β,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14ML,https://diavgeia.gov.gr/doc/61ΘΦ46907Κ-Α3Β
99221940,ΨΒ3246907Κ-Ν4Σ,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14ML,https://diavgeia.gov.gr/doc/ΨΒ3246907Κ-Ν4Σ
99221940,6Σ3Κ46907Κ-ΣΟΚ,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14ML,https://diavgeia.gov.gr/doc/6Σ3Κ46907Κ-ΣΟΚ
99221940,ΨΕΦΚ46907Κ-9Ρ5,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14ML,https://diavgeia.gov.gr/doc/ΨΕΦΚ46907Κ-9Ρ5
99221940,6Δ4Α46907Κ-ΖΕΓ,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14ML,https://diavgeia.gov.gr/doc/6Δ4Α46907Κ-ΖΕΓ
99221940,ΨΜΟΜ46907Κ-ΚΗΔ,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14ML,https://diavgeia.gov.gr/doc/ΨΜΟΜ46907Κ-ΚΗΔ
99221940,ΩΖΤΖ46907Κ-1Α3,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14ML,https://diavgeia.gov.gr/doc/ΩΖΤΖ46907Κ-1Α3
99221940,6ΡΛΘ46907Κ-ΑΛΑ,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14ML,https://diavgeia.gov.gr/doc/6ΡΛΘ46907Κ-ΑΛΑ
99221940,ΨΑΨ846907Κ-ΨΝ4,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14ML,https://diavgeia.gov.gr/doc/ΨΑΨ846907Κ-ΨΝ4
99221940,Ψ6ΕΞ46907Κ-ΜΜΥ,PERJETA C/S.SOL.IN 420MG/VIAL (30MG/ML) BTx1 VIAL x 14ML,https://diavgeia.gov.gr/doc/Ψ6ΕΞ46907Κ-ΜΜΥ
