uid,ada,amount,supplier_afm,type
99221486,98ΦΨ469Η2Π-ΦΘ8,32302030000002.0,998940383,Β.2.2
99221486,Ρ15Ο469Η2Π-ΗΑΒ,32302030000002.0,997296038,Β.2.2
99221486,95ΟΔ469Η2Π-8Δ0,32302030000002.0,082525697,Β.2.2
99221486,9ΚΕΘ469Η2Π-ΘΞΥ,32302030000002.0,099999268,Β.2.2
99221888,ΨΨ8Ο469045-ΝΦΓ,10620046.0,,Β.2.1
99221888,Ρ008469045-ΣΘΛ,10329168.0,,Β.2.1
99221899,9Δ2Β4690ΒΩ-ΤΧΑ,21302890011001.0,999501452,Β.2.2
99221899,9Δ2Β4690ΒΩ-ΤΧΑ,21903010011001.0,999501452,Β.2.2
99221900,9ΩΜΥ4690Β6-Β1Ρ,32309010000032.0,094098300,Β.2.2
99221905,ΨΨΝ14690ΒΛ-ΝΒΚ,800541285.0,800541285,Β.2.2
99221905,937Δ4690ΒΛ-9ΤΧ,99370337.0,099370337,Β.2.2
99221905,Ρ6ΘΙ4690ΒΛ-ΗΛΨ,800777790.0,800777790,Β.2.2
99221905,ΡΚΑΦ4690ΒΛ-Δ61,99999477.0,099999477,Β.2.2
99221937,6ΑΙΦ46907Ρ-ΒΒ5,24203040000002.0,997752073,Β.2.2
99221940,6Χ4Μ46907Κ-8Θ2,94472918.0,094472918,Β.2.2
99221985,9ΗΒΛ4690Ω3-ΞΘΓ,998656870.0,998656870,Β.2.2
99221985,9ΖΜ84690Ω3-4ΡΦ,999600478.0,999600478,Β.2.2
99221985,9Χ874690Ω3-3ΩΡ,94012336.0,094012336,Β.2.2
99221994,Ρ8Χ24690Ω8-ΟΝΓ,24209890.0,999332719,Β.2.2
99221994,ΨΨΥΚ4690Ω8-1ΚΞ,21202260.0,999332719,Β.2.2
99222004,ΨΤΠΝ469069-ΘΓ7,82325792.0,082325792,Β.2.2
99222004,6Φ5Δ469069-7ΝΧ,119834318.0,800384318,Β.2.2
99222004,ΨΨΣΓ469069-ΙΕΒ,101007048.0,9999999,Β.2.2
99222006,ΨΞΠΗ46906Ε-ΓΝΛ,996985473.0,996985473,Β.2.2
99222011,9ΓΔΚ46906Η-5Χ8,999426109.0,999426109,Β.2.2
